t,h,hd,alpha,ad,Fy,Mz,W_gust,delta
1.40000000e-04,-6.49179363e-03,4.07038939e-06,-8.76337528e-04,7.76299730e-05,164.533672,-8.326081,0.000008,0.000000
4.20000000e-04,-6.49179116e-03,1.36960947e-05,-8.76315432e-04,7.98954867e-05,164.533632,-8.326080,0.000074,0.000000
7.00000000e-04,-6.49178590e-03,2.38840877e-05,-8.76292863e-04,8.13469067e-05,164.533552,-8.326078,0.000206,0.000000
9.80000000e-04,-6.49177779e-03,3.40874093e-05,-8.76269871e-04,8.28335107e-05,164.533432,-8.326075,0.000405,0.000000
1.26000000e-03,-6.49176682e-03,4.42743607e-05,-8.76246504e-04,8.40843811e-05,164.533274,-8.326071,0.000669,0.000000
1.54000000e-03,-6.49175299e-03,5.44561852e-05,-8.76222750e-04,8.56459172e-05,164.533079,-8.326066,0.000999,0.000000
1.82000000e-03,-6.49173633e-03,6.46003437e-05,-8.76198528e-04,8.73780166e-05,164.532849,-8.326060,0.001396,0.000000
2.10000000e-03,-6.49171682e-03,7.47131196e-05,-8.76173828e-04,8.90047203e-05,164.532584,-8.326052,0.001858,0.000000
2.38000000e-03,-6.49169449e-03,8.48115445e-05,-8.76148708e-04,9.04081291e-05,164.532287,-8.326043,0.002387,0.000000
2.66000000e-03,-6.49166933e-03,9.48785751e-05,-8.76123204e-04,9.17833590e-05,164.531960,-8.326033,0.002981,0.000000
2.94000000e-03,-6.49164136e-03,1.04871975e-04,-8.76097280e-04,9.34263025e-05,164.531605,-8.326021,0.003642,0.000000
3.22000000e-03,-6.49161060e-03,1.14906414e-04,-8.76070906e-04,9.48944898e-05,164.531223,-8.326008,0.004369,0.000000
3.50000000e-03,-6.49157701e-03,1.24975366e-04,-8.76044159e-04,9.61487048e-05,164.530818,-8.325993,0.005161,0.000000
3.64000000e-03,-6.49155916e-03,1.30042337e-04,-8.76030669e-04,9.65650133e-05,164.530390,-8.325976,0.005583,0.000000
3.92000000e-03,-6.49152133e-03,1.40158251e-04,-8.76003518e-04,9.73622062e-05,164.529943,-8.325958,0.006474,0.000000
4.20000000e-03,-6.49148067e-03,1.50249329e-04,-8.75976150e-04,9.81121221e-05,164.529478,-8.325937,0.007432,0.000000
4.48000000e-03,-6.49143720e-03,1.60297676e-04,-8.75948572e-04,9.89152716e-05,164.528996,-8.325915,0.008456,0.000000
4.76000000e-03,-6.49139091e-03,1.70277501e-04,-8.75920734e-04,9.99082078e-05,164.528500,-8.325891,0.009546,0.000000
5.04000000e-03,-6.49134184e-03,1.80276619e-04,-8.75892668e-04,1.00498068e-04,164.527990,-8.325865,0.010702,0.000000
5.32000000e-03,-6.49128997e-03,1.90224018e-04,-8.75864453e-04,1.01064833e-04,164.527468,-8.325838,0.011924,0.000000
5.60000000e-03,-6.49123532e-03,2.00122407e-04,-8.75836067e-04,1.01682925e-04,164.526935,-8.325808,0.013211,0.000000
5.88000000e-03,-6.49117790e-03,2.09986228e-04,-8.75807507e-04,1.02373967e-04,164.526391,-8.325777,0.014565,0.000000
6.16000000e-03,-6.49111773e-03,2.19774132e-04,-8.75778700e-04,1.03416483e-04,164.525838,-8.325744,0.015985,0.000000
6.44000000e-03,-6.49105482e-03,2.29583039e-04,-8.75749607e-04,1.04356480e-04,164.525274,-8.325709,0.017471,0.000000
6.72000000e-03,-6.49098917e-03,2.39389906e-04,-8.75720280e-04,1.05081644e-04,164.524701,-8.325673,0.019022,0.000000
7.00000000e-03,-6.49092077e-03,2.49170066e-04,-8.75690774e-04,1.05668251e-04,164.524118,-8.325635,0.020640,0.000000
7.14000000e-03,-6.49088554e-03,2.54035245e-04,-8.75675946e-04,1.06169479e-04,164.523524,-8.325596,0.021474,0.000000
7.42000000e-03,-6.49081305e-03,2.63738891e-04,-8.75646082e-04,1.07135222e-04,164.522920,-8.325556,0.023190,0.000000
7.70000000e-03,-6.49073785e-03,2.73406172e-04,-8.75615954e-04,1.08051878e-04,164.522304,-8.325514,0.024972,0.000000
7.98000000e-03,-6.49065995e-03,2.83043621e-04,-8.75585580e-04,1.08880599e-04,164.521677,-8.325470,0.026821,0.000000
8.26000000e-03,-6.49057935e-03,2.92660582e-04,-8.75554998e-04,1.09543131e-04,164.521036,-8.325426,0.028735,0.000000
8.54000000e-03,-6.49049607e-03,3.02212968e-04,-8.75524243e-04,1.10118495e-04,164.520381,-8.325380,0.030715,0.000000
8.82000000e-03,-6.49041011e-03,3.11723530e-04,-8.75493349e-04,1.10519557e-04,164.519712,-8.325333,0.032761,0.000000
9.10000000e-03,-6.49032150e-03,3.21221615e-04,-8.75462363e-04,1.10806968e-04,164.519026,-8.325284,0.034872,0.000000
9.38000000e-03,-6.49023023e-03,3.30704125e-04,-8.75431302e-04,1.11020793e-04,164.518323,-8.325234,0.037050,0.000000
9.66000000e-03,-6.49013631e-03,3.40130205e-04,-8.75400210e-04,1.11066254e-04,164.517602,-8.325182,0.039293,0.000000
9.94000000e-03,-6.49003976e-03,3.49536641e-04,-8.75369088e-04,1.11269091e-04,164.516861,-8.325129,0.041602,0.000000
1.02200000e-02,-6.48994057e-03,3.58920990e-04,-8.75337887e-04,1.11606984e-04,164.516100,-8.325074,0.043977,0.000000
1.05000000e-02,-6.48983877e-03,3.68269478e-04,-8.75306585e-04,1.11972204e-04,164.515318,-8.325017,0.046418,0.000000
1.06400000e-02,-6.48978688e-03,3.72953072e-04,-8.75290897e-04,1.12141125e-04,164.514514,-8.324958,0.047663,0.000000
1.09200000e-02,-6.48968115e-03,3.82285147e-04,-8.75259454e-04,1.12443325e-04,164.513686,-8.324896,0.050202,0.000000
1.12000000e-02,-6.48957281e-03,3.91569692e-04,-8.75227933e-04,1.12698160e-04,164.512833,-8.324832,0.052807,0.000000
1.14800000e-02,-6.48946187e-03,4.00812659e-04,-8.75196354e-04,1.12819761e-04,164.511956,-8.324765,0.055478,0.000000
1.17600000e-02,-6.48934835e-03,4.10033367e-04,-8.75164785e-04,1.12641967e-04,164.511053,-8.324696,0.058214,0.000000
1.20400000e-02,-6.48923225e-03,4.19247872e-04,-8.75133279e-04,1.12396574e-04,164.510123,-8.324623,0.061016,0.000000
1.23200000e-02,-6.48911359e-03,4.28322424e-04,-8.75101845e-04,1.12123276e-04,164.509165,-8.324547,0.063883,0.000000
1.26000000e-02,-6.48899240e-03,4.37288653e-04,-8.75070483e-04,1.11924871e-04,164.508180,-8.324467,0.066817,0.000000
1.28800000e-02,-6.48886871e-03,4.46237523e-04,-8.75039148e-04,1.11935795e-04,164.507165,-8.324383,0.069815,0.000000
1.31600000e-02,-6.48874251e-03,4.55169074e-04,-8.75007777e-04,1.12126767e-04,164.506121,-8.324296,0.072880,0.000000
1.34400000e-02,-6.48861382e-03,4.64053575e-04,-8.74976403e-04,1.11882965e-04,164.505047,-8.324204,0.076010,0.000000
1.37200000e-02,-6.48848264e-03,4.72930107e-04,-8.74945152e-04,1.11295275e-04,164.503941,-8.324108,0.079205,0.000000
1.40000000e-02,-6.48834898e-03,4.81783627e-04,-8.74914092e-04,1.10555345e-04,164.502804,-8.324008,0.082466,0.000000
1.41400000e-02,-6.48828122e-03,4.86254380e-04,-8.74898629e-04,1.10348145e-04,164.501635,-8.323903,0.084121,0.000000
1.44200000e-02,-6.48814382e-03,4.95152771e-04,-8.74867793e-04,1.09902399e-04,164.500433,-8.323793,0.087480,0.000000
1.47000000e-02,-6.48800394e-03,5.03993000e-04,-8.74837087e-04,1.09415346e-04,164.499198,-8.323679,0.090904,0.000000
1.49800000e-02,-6.48786159e-03,5.12762789e-04,-8.74806524e-04,1.08882427e-04,164.497928,-8.323560,0.094394,0.000000
1.52600000e-02,-6.48771680e-03,5.21448041e-04,-8.74776119e-04,1.08294355e-04,164.496623,-8.323436,0.097950,0.000000
1.55400000e-02,-6.48756958e-03,5.30128989e-04,-8.74745883e-04,1.07675997e-04,164.495282,-8.323307,0.101570,0.000000
1.58200000e-02,-6.48741993e-03,5.38756648e-04,-8.74715802e-04,1.07229375e-04,164.493905,-8.323174,0.105256,0.000000
1.61000000e-02,-6.48726788e-03,5.47299150e-04,-8.74685828e-04,1.06856196e-04,164.492491,-8.323036,0.109007,0.000000
1.63800000e-02,-6.48711345e-03,5.55775409e-04,-8.74655976e-04,1.06331972e-04,164.491038,-8.322894,0.112824,0.000000
1.66600000e-02,-6.48695665e-03,5.64235913e-04,-8.74626302e-04,1.05634709e-04,164.489546,-8.322747,0.116706,0.000000
1.69400000e-02,-6.48679749e-03,5.72635629e-04,-8.74596788e-04,1.05220193e-04,164.488016,-8.322595,0.120653,0.000000
1.72200000e-02,-6.48663597e-03,5.81021704e-04,-8.74567412e-04,1.04515267e-04,164.486445,-8.322439,0.124665,0.000000
1.75000000e-02,-6.48647212e-03,5.89379194e-04,-8.74538287e-04,1.03511855e-04,164.484832,-8.322278,0.128743,0.000000
1.76400000e-02,-6.48638931e-03,5.93498073e-04,-8.74523786e-04,1.03652873e-04,164.483178,-8.322113,0.130806,0.000000
1.79200000e-02,-6.48622199e-03,6.01685408e-04,-8.74494726e-04,1.03908080e-04,164.481481,-8.321943,0.134981,0.000000
1.82000000e-02,-6.48605238e-03,6.09804910e-04,-8.74465600e-04,1.04127640e-04,164.479740,-8.321769,0.139221,0.000000
1.84800000e-02,-6.48588050e-03,6.17898255e-04,-8.74436428e-04,1.04169861e-04,164.477956,-8.321591,0.143526,0.000000
1.87600000e-02,-6.48570635e-03,6.26049595e-04,-8.74407314e-04,1.03719138e-04,164.476126,-8.321408,0.147896,0.000000
1.90400000e-02,-6.48552992e-03,6.34158819e-04,-8.74378377e-04,1.02934190e-04,164.474251,-8.321221,0.152332,0.000000
1.93200000e-02,-6.48535123e-03,6.42152895e-04,-8.74349645e-04,1.02367608e-04,164.472330,-8.321029,0.156832,0.000000
1.96000000e-02,-6.48517032e-03,6.50062148e-04,-8.74321049e-04,1.01823409e-04,164.470362,-8.320833,0.161397,0.000000
1.98800000e-02,-6.48498720e-03,6.57933787e-04,-8.74292642e-04,1.01157103e-04,164.468347,-8.320632,0.166027,0.000000
2.01600000e-02,-6.48480188e-03,6.65762271e-04,-8.74264356e-04,1.00884991e-04,164.466284,-8.320426,0.170722,0.000000
2.04400000e-02,-6.48461437e-03,6.73602757e-04,-8.74236187e-04,1.00256372e-04,164.464174,-8.320215,0.175482,0.000000
2.07200000e-02,-6.48442466e-03,6.81423387e-04,-8.74208224e-04,9.94759745e-05,164.462014,-8.319999,0.180306,0.000000
2.10000000e-02,-6.48423278e-03,6.89187559e-04,-8.74180482e-04,9.86755690e-05,164.459806,-8.319777,0.185195,0.000000
2.11400000e-02,-6.48413602e-03,6.93098248e-04,-8.74166673e-04,9.85946352e-05,164.457548,-8.319550,0.187664,0.000000
2.14200000e-02,-6.48394086e-03,7.00862178e-04,-8.74139091e-04,9.84109335e-05,164.455240,-8.319316,0.192651,0.000000
2.17000000e-02,-6.48374354e-03,7.08548951e-04,-8.74111565e-04,9.81984305e-05,164.452883,-8.319077,0.197702,0.000000
2.19800000e-02,-6.48354408e-03,7.16155128e-04,-8.74084104e-04,9.79485809e-05,164.450474,-8.318832,0.202817,0.000000
2.22600000e-02,-6.48334250e-03,7.23682729e-04,-8.74056722e-04,9.75913783e-05,164.448015,-8.318579,0.207997,0.000000
2.25400000e-02,-6.48313882e-03,7.31186262e-04,-8.74029492e-04,9.68448127e-05,164.445505,-8.318320,0.213242,0.000000
2.28200000e-02,-6.48293304e-03,7.38663827e-04,-8.74002505e-04,9.59053088e-05,164.442943,-8.318054,0.218551,0.000000
2.31000000e-02,-6.48272518e-03,7.46068201e-04,-8.73975776e-04,9.50621854e-05,164.440330,-8.317781,0.223925,0.000000
2.33800000e-02,-6.48251525e-03,7.53388721e-04,-8.73949243e-04,9.45081604e-05,164.437664,-8.317500,0.229363,0.000000
2.36600000e-02,-6.48230328e-03,7.60693161e-04,-8.73922826e-04,9.41887891e-05,164.434945,-8.317212,0.234866,0.000000
2.39400000e-02,-6.48208927e-03,7.67933663e-04,-8.73896516e-04,9.37156727e-05,164.432173,-8.316915,0.240433,0.000000
2.42200000e-02,-6.48187324e-03,7.75128284e-04,-8.73870330e-04,9.33711188e-05,164.429347,-8.316611,0.246064,0.000000
2.45000000e-02,-6.48165520e-03,7.82263416e-04,-8.73844217e-04,9.31518213e-05,164.426466,-8.316299,0.251760,0.000000
2.46400000e-02,-6.48154543e-03,7.85925019e-04,-8.73831189e-04,9.29602561e-05,164.423531,-8.315978,0.254632,0.000000
2.49200000e-02,-6.48132435e-03,7.93184330e-04,-8.73805215e-04,9.25600879e-05,164.420540,-8.315649,0.260423,0.000000
2.52000000e-02,-6.48110125e-03,8.00357936e-04,-8.73779357e-04,9.21375910e-05,164.417493,-8.315311,0.266280,0.000000
2.54800000e-02,-6.48087616e-03,8.07433776e-04,-8.73753613e-04,9.17895192e-05,164.414389,-8.314965,0.272200,0.000000
2.57600000e-02,-6.48064910e-03,8.14391317e-04,-8.73727928e-04,9.16971875e-05,164.411227,-8.314611,0.278184,0.000000
2.60400000e-02,-6.48042011e-03,8.21275455e-04,-8.73702269e-04,9.15694279e-05,164.408006,-8.314248,0.284232,0.000000
2.63200000e-02,-6.48018919e-03,8.28122586e-04,-8.73676659e-04,9.13364473e-05,164.404726,-8.313877,0.290345,0.000000
2.66000000e-02,-6.47995636e-03,8.34925140e-04,-8.73651105e-04,9.12650854e-05,164.401385,-8.313497,0.296521,0.000000
2.68800000e-02,-6.47972164e-03,8.41691878e-04,-8.73625519e-04,9.15067165e-05,164.397983,-8.313110,0.302761,0.000000
2.71600000e-02,-6.47948501e-03,8.48478130e-04,-8.73599864e-04,9.17020734e-05,164.394519,-8.312714,0.309065,0.000000
2.74400000e-02,-6.47924650e-03,8.55210636e-04,-8.73574209e-04,9.14909334e-05,164.390992,-8.312309,0.315433,0.000000
2.77200000e-02,-6.47900610e-03,8.61871201e-04,-8.73548605e-04,9.14683832e-05,164.387400,-8.311897,0.321865,0.000000
2.80000000e-02,-6.47876386e-03,8.68448614e-04,-8.73522966e-04,9.16666002e-05,164.383742,-8.311477,0.328360,0.000000
2.81400000e-02,-6.47864204e-03,8.71810768e-04,-8.73510118e-04,9.18703714e-05,164.380019,-8.311050,0.331631,0.000000
2.84200000e-02,-6.47839700e-03,8.78465406e-04,-8.73484339e-04,9.22624112e-05,164.376227,-8.310614,0.338222,0.000000
2.87000000e-02,-6.47815011e-03,8.85026704e-04,-8.73458453e-04,9.26337739e-05,164.372367,-8.310171,0.344877,0.000000
2.89800000e-02,-6.47790139e-03,8.91523966e-04,-8.73432468e-04,9.29537293e-05,164.368437,-8.309721,0.351595,0.000000
2.92600000e-02,-6.47765085e-03,8.98014834e-04,-8.73406409e-04,9.31801756e-05,164.364437,-8.309263,0.358376,0.000000
2.95400000e-02,-6.47739851e-03,9.04422435e-04,-8.73380277e-04,9.35083194e-05,164.360365,-8.308799,0.365221,0.000000
2.98200000e-02,-6.47714438e-03,9.10753796e-04,-8.73354014e-04,9.41500232e-05,164.356219,-8.308326,0.372129,0.000000
3.01000000e-02,-6.47688849e-03,9.17067994e-04,-8.73327554e-04,9.47777164e-05,164.352000,-8.307847,0.379101,0.000000
3.03800000e-02,-6.47663082e-03,9.23378243e-04,-8.73300957e-04,9.52693652e-05,164.347706,-8.307361,0.386136,0.000000
3.06600000e-02,-6.47637140e-03,9.29597006e-04,-8.73274152e-04,9.62723601e-05,164.343336,-8.306867,0.393235,0.000000
3.09400000e-02,-6.47611026e-03,9.35733633e-04,-8.73247010e-04,9.76488369e-05,164.338889,-8.306366,0.400396,0.000000
3.12200000e-02,-6.47584740e-03,9.41832285e-04,-8.73219477e-04,9.89809419e-05,164.334364,-8.305858,0.407621,0.000000
3.15000000e-02,-6.47558284e-03,9.47871139e-04,-8.73191591e-04,1.00197253e-04,164.329760,-8.305343,0.414908,0.000000
3.16400000e-02,-6.47544992e-03,9.50960842e-04,-8.73177499e-04,1.01118916e-04,164.325077,-8.304820,0.418576,0.000000
3.19200000e-02,-6.47518279e-03,9.57065361e-04,-8.73148930e-04,1.02943021e-04,164.320313,-8.304289,0.425958,0.000000
3.22000000e-02,-6.47491397e-03,9.63069652e-04,-8.73119853e-04,1.04740806e-04,164.315468,-8.303750,0.433403,0.000000
3.24800000e-02,-6.47464348e-03,9.69012299e-04,-8.73090291e-04,1.06318752e-04,164.310540,-8.303203,0.440911,0.000000
