t,h,hd,alpha,ad,Fy,Mz,W_gust,delta
1.40000000e-04,-6.49179514e-03,-1.70947695e-05,-8.76330037e-04,1.81882509e-04,166.361787,-7.889735,0.000000,0.008989
4.20000000e-04,-6.49180272e-03,-3.27300657e-05,-8.76259209e-04,3.01700809e-04,166.366229,-7.889050,0.000000,0.026968
7.00000000e-04,-6.49181219e-03,-3.45911304e-05,-8.76167603e-04,3.51679486e-04,166.375098,-7.887682,0.000000,0.044947
9.80000000e-04,-6.49182203e-03,-3.61417421e-05,-8.76062405e-04,4.01601776e-04,166.388367,-7.885635,0.000000,0.062926
1.26000000e-03,-6.49183271e-03,-4.04982853e-05,-8.75941434e-04,4.64153550e-04,166.405995,-7.882916,0.000000,0.080905
1.54000000e-03,-6.49184489e-03,-4.68164236e-05,-8.75801884e-04,5.33561639e-04,166.427929,-7.879532,0.000000,0.098884
1.82000000e-03,-6.49185907e-03,-5.47257273e-05,-8.75642230e-04,6.07481139e-04,166.454100,-7.875495,0.000000,0.116863
2.10000000e-03,-6.49187567e-03,-6.40444996e-05,-8.75461335e-04,6.85251924e-04,166.484429,-7.870816,0.000000,0.134842
2.38000000e-03,-6.49189506e-03,-7.47358615e-05,-8.75258128e-04,7.66938022e-04,166.518826,-7.865510,0.000000,0.152821
2.66000000e-03,-6.49191766e-03,-8.69100782e-05,-8.75031447e-04,8.52863930e-04,166.557194,-7.859591,0.000000,0.170800
2.94000000e-03,-6.49194385e-03,-1.00394320e-04,-8.74780197e-04,9.42324215e-04,166.599421,-7.853078,0.000000,0.188779
3.22000000e-03,-6.49197399e-03,-1.15080052e-04,-8.74503507e-04,1.03441704e-03,166.645389,-7.845990,0.000000,0.206757
3.50000000e-03,-6.49200835e-03,-1.30327480e-04,-8.74200851e-04,1.12728592e-03,166.694974,-7.838346,0.000000,0.224736
3.64000000e-03,-6.49202727e-03,-1.39903024e-04,-8.74039530e-04,1.17726782e-03,166.748043,-7.830169,0.000000,0.233726
3.92000000e-03,-6.49206912e-03,-1.59012639e-04,-8.73695967e-04,1.27661165e-03,166.804460,-7.821482,0.000000,0.251705
4.20000000e-03,-6.49211631e-03,-1.78064435e-04,-8.73324709e-04,1.37508259e-03,166.864085,-7.812307,0.000000,0.269684
4.48000000e-03,-6.49216885e-03,-1.97427197e-04,-8.72925891e-04,1.47429060e-03,166.926773,-7.802669,0.000000,0.287663
4.76000000e-03,-6.49222699e-03,-2.18034079e-04,-8.72498660e-04,1.57804043e-03,166.992378,-7.792595,0.000000,0.305641
5.04000000e-03,-6.49229109e-03,-2.40083699e-04,-8.72041876e-04,1.68521150e-03,167.060758,-7.782108,0.000000,0.323620
5.32000000e-03,-6.49236155e-03,-2.63436875e-04,-8.71554717e-04,1.79485692e-03,167.131762,-7.771237,0.000000,0.341599
5.60000000e-03,-6.49243873e-03,-2.88023210e-04,-8.71036553e-04,1.90667954e-03,167.205245,-7.760006,0.000000,0.359578
5.88000000e-03,-6.49252296e-03,-3.13873025e-04,-8.70486760e-04,2.02086189e-03,167.281065,-7.748442,0.000000,0.377557
6.16000000e-03,-6.49261462e-03,-3.41066286e-04,-8.69904610e-04,2.13781112e-03,167.359083,-7.736571,0.000000,0.395536
6.44000000e-03,-6.49271409e-03,-3.69634325e-04,-8.69289334e-04,2.25745837e-03,167.439160,-7.724419,0.000000,0.413515
6.72000000e-03,-6.49282175e-03,-3.99584877e-04,-8.68640199e-04,2.37962452e-03,167.521164,-7.712011,0.000000,0.431494
7.00000000e-03,-6.49293792e-03,-4.30171412e-04,-8.67956704e-04,2.50222318e-03,167.604966,-7.699373,0.000000,0.449473
7.14000000e-03,-6.49299939e-03,-4.48056159e-04,-8.67601728e-04,2.56879443e-03,167.690442,-7.686527,0.000000,0.458462
7.42000000e-03,-6.49312984e-03,-4.83732275e-04,-8.66863962e-04,2.70067749e-03,167.777476,-7.673498,0.000000,0.476441
7.70000000e-03,-6.49327027e-03,-5.19279762e-04,-8.66089511e-04,2.83082034e-03,167.865954,-7.660308,0.000000,0.494420
7.98000000e-03,-6.49342066e-03,-5.55134124e-04,-8.65278752e-04,2.96085263e-03,167.955770,-7.646978,0.000000,0.512399
8.26000000e-03,-6.49358128e-03,-5.92369034e-04,-8.64431059e-04,3.09464426e-03,168.046823,-7.633529,0.000000,0.530378
8.54000000e-03,-6.49375252e-03,-6.31055283e-04,-8.63545516e-04,3.23106514e-03,168.139022,-7.619980,0.000000,0.548357
8.82000000e-03,-6.49393481e-03,-6.71219502e-04,-8.62621436e-04,3.36991165e-03,168.232275,-7.606349,0.000000,0.566336
9.10000000e-03,-6.49412853e-03,-7.12749293e-04,-8.61658210e-04,3.51043456e-03,168.326500,-7.592653,0.000000,0.584314
9.38000000e-03,-6.49433406e-03,-7.55559801e-04,-8.60655496e-04,3.65203260e-03,168.421620,-7.578908,0.000000,0.602293
9.66000000e-03,-6.49455177e-03,-7.99734091e-04,-8.59612938e-04,3.79505720e-03,168.517567,-7.565129,0.000000,0.620272
9.94000000e-03,-6.49478204e-03,-8.45267900e-04,-8.58530123e-04,3.93956720e-03,168.614274,-7.551328,0.000000,0.638251
1.02200000e-02,-6.49502524e-03,-8.92087886e-04,-8.57406688e-04,4.08510685e-03,168.711682,-7.537519,0.000000,0.656230
1.05000000e-02,-6.49528166e-03,-9.39432782e-04,-8.56242547e-04,4.22975643e-03,168.809735,-7.523712,0.000000,0.674209
1.06400000e-02,-6.49541503e-03,-9.65775105e-04,-8.55645009e-04,4.30639067e-03,168.908383,-7.509918,0.000000,0.683198
1.09200000e-02,-6.49569280e-03,-1.01829581e-03,-8.54417983e-04,4.45762292e-03,169.007580,-7.496145,0.000000,0.701177
1.12000000e-02,-6.49598525e-03,-1.07059236e-03,-8.53149000e-04,4.60607097e-03,169.107286,-7.482401,0.000000,0.719156
1.14800000e-02,-6.49629234e-03,-1.12307579e-03,-8.51838757e-04,4.75299720e-03,169.207462,-7.468693,0.000000,0.737135
1.17600000e-02,-6.49661429e-03,-1.17680025e-03,-8.50487153e-04,4.90161722e-03,169.308074,-7.455028,0.000000,0.755114
1.20400000e-02,-6.49695149e-03,-1.23202610e-03,-8.49093688e-04,5.05196197e-03,169.409094,-7.441411,0.000000,0.773093
1.23200000e-02,-6.49730435e-03,-1.28861031e-03,-8.47657991e-04,5.20308064e-03,169.510491,-7.427845,0.000000,0.791072
1.26000000e-02,-6.49767323e-03,-1.34641177e-03,-8.46179955e-04,5.35428742e-03,169.612240,-7.414337,0.000000,0.809051
1.28800000e-02,-6.49805845e-03,-1.40541793e-03,-8.44659607e-04,5.50534136e-03,169.714320,-7.400888,0.000000,0.827030
1.31600000e-02,-6.49846038e-03,-1.46575273e-03,-8.43096961e-04,5.65641743e-03,169.816711,-7.387500,0.000000,0.845009
1.34400000e-02,-6.49887939e-03,-1.52731325e-03,-8.41492006e-04,5.80756610e-03,169.919394,-7.374178,0.000000,0.862988
1.37200000e-02,-6.49931581e-03,-1.59022690e-03,-8.39844680e-04,5.95914124e-03,170.022353,-7.360921,0.000000,0.880966
1.40000000e-02,-6.49976996e-03,-1.65368739e-03,-8.38155034e-04,6.10914262e-03,170.125573,-7.347732,0.000000,0.898945
1.41400000e-02,-6.50000388e-03,-1.68799932e-03,-8.37294308e-04,6.18678513e-03,170.229041,-7.334611,0.000000,0.907935
1.44200000e-02,-6.50048610e-03,-1.75637361e-03,-8.35540579e-04,6.33921212e-03,170.332744,-7.321559,0.000000,0.925914
1.47000000e-02,-6.50098742e-03,-1.82440840e-03,-8.33744712e-04,6.48775953e-03,170.436670,-7.308577,0.000000,0.943893
1.49800000e-02,-6.50150777e-03,-1.89255022e-03,-8.31907690e-04,6.63396456e-03,170.540809,-7.295665,0.000000,0.961872
1.52600000e-02,-6.50204737e-03,-1.96192897e-03,-8.30029546e-04,6.78150302e-03,170.645152,-7.282824,0.000000,0.979850
1.55400000e-02,-6.50260659e-03,-2.03273433e-03,-8.28110030e-04,6.92927472e-03,170.749692,-7.270052,0.000000,0.997829
1.58200000e-02,-6.50318579e-03,-2.10458803e-03,-8.26149325e-04,7.07535889e-03,170.854418,-7.257351,0.000000,1.015808
1.61000000e-02,-6.50378527e-03,-2.17763027e-03,-8.24147942e-04,7.22023323e-03,170.959319,-7.244720,0.000000,1.033787
1.63800000e-02,-6.50440540e-03,-2.25206351e-03,-8.22106026e-04,7.36467981e-03,171.064379,-7.232164,0.000000,1.051766
1.66600000e-02,-6.50504653e-03,-2.32760661e-03,-8.20023859e-04,7.50764889e-03,171.169604,-7.219677,0.000000,1.069745
1.69400000e-02,-6.50570894e-03,-2.40411220e-03,-8.17901924e-04,7.64876037e-03,171.274999,-7.207255,0.000000,1.087724
1.72200000e-02,-6.50639295e-03,-2.48189374e-03,-8.15740570e-04,7.78953079e-03,171.380543,-7.194903,0.000000,1.105703
1.75000000e-02,-6.50709885e-03,-2.56015899e-03,-8.13539995e-04,7.92807343e-03,171.486227,-7.182622,0.000000,1.123682
1.76400000e-02,-6.50746020e-03,-2.60194761e-03,-8.12425067e-04,7.99925532e-03,171.592045,-7.170410,0.000000,1.132671
1.79200000e-02,-6.50820041e-03,-2.68517744e-03,-8.10165741e-04,8.13798024e-03,171.697992,-7.158269,0.000000,1.150650
1.82000000e-02,-6.50896385e-03,-2.76793635e-03,-8.07868257e-04,8.27179183e-03,171.804062,-7.146197,0.000000,1.168629
1.84800000e-02,-6.50975044e-03,-2.85067989e-03,-8.05533896e-04,8.40210846e-03,171.910249,-7.134194,0.000000,1.186608
1.87600000e-02,-6.51056034e-03,-2.93452915e-03,-8.03163071e-04,8.53227812e-03,172.016547,-7.122261,0.000000,1.204587
1.90400000e-02,-6.51139389e-03,-3.01960685e-03,-8.00755921e-04,8.66142710e-03,172.122954,-7.110397,0.000000,1.222566
1.93200000e-02,-6.51225142e-03,-3.10577181e-03,-7.98312852e-04,8.78871195e-03,172.229462,-7.098602,0.000000,1.240545
1.96000000e-02,-6.51313323e-03,-3.19310043e-03,-7.95834396e-04,8.91435551e-03,172.336064,-7.086876,0.000000,1.258523
1.98800000e-02,-6.51403967e-03,-3.28154692e-03,-7.93320987e-04,9.03790031e-03,172.442759,-7.075219,0.000000,1.276502
2.01600000e-02,-6.51497096e-03,-3.37071873e-03,-7.90773577e-04,9.15735083e-03,172.549537,-7.063630,0.000000,1.294481
2.04400000e-02,-6.51592737e-03,-3.46096020e-03,-7.88193056e-04,9.27465168e-03,172.656399,-7.052110,0.000000,1.312460
2.07200000e-02,-6.51690921e-03,-3.55239877e-03,-7.85579898e-04,9.39055563e-03,172.763339,-7.040657,0.000000,1.330439
2.10000000e-02,-6.51791674e-03,-3.64415726e-03,-7.82934666e-04,9.50301864e-03,172.870353,-7.029271,0.000000,1.348418
2.11400000e-02,-6.51843033e-03,-3.69272279e-03,-7.81600168e-04,9.56099367e-03,172.977437,-7.017953,0.000000,1.357407
2.14200000e-02,-6.51947784e-03,-3.78939947e-03,-7.78907325e-04,9.67264138e-03,173.084587,-7.006700,0.000000,1.375386
2.17000000e-02,-6.52055233e-03,-3.88546199e-03,-7.76184029e-04,9.77850460e-03,173.191802,-6.995513,0.000000,1.393365
2.19800000e-02,-6.52165367e-03,-3.98134062e-03,-7.73431817e-04,9.87979233e-03,173.299078,-6.984391,0.000000,1.411344
2.22600000e-02,-6.52278197e-03,-4.07813691e-03,-7.70651481e-04,9.97954508e-03,173.406412,-6.973332,0.000000,1.429323
2.25400000e-02,-6.52393755e-03,-4.17618883e-03,-7.67843375e-04,1.00780721e-02,173.513805,-6.962336,0.000000,1.447302
