t,h,hd,alpha,ad,Fy,Mz,W_gust,delta
6.32000000e-05,-6.49179387e-03,7.64837845e-07,-8.76343305e-04,8.14376439e-05,164.862902,-8.232166,0.000002,0.000000
1.89600000e-04,-6.49179363e-03,3.03149625e-06,-8.76332309e-04,9.25499807e-05,164.862915,-8.232200,0.000022,0.000000
3.16000000e-04,-6.49179310e-03,5.29724071e-06,-8.76319909e-04,1.03645092e-04,164.862944,-8.232267,0.000061,0.000000
4.42400000e-04,-6.49179229e-03,7.56205424e-06,-8.76306108e-04,1.14721728e-04,164.862990,-8.232367,0.000119,0.000000
5.68800000e-04,-6.49179119e-03,9.82591982e-06,-8.76290908e-04,1.25778638e-04,164.863059,-8.232498,0.000197,0.000000
6.95200000e-04,-6.49178981e-03,1.20888204e-05,-8.76274312e-04,1.36814579e-04,164.863158,-8.232657,0.000294,0.000000
8.21600000e-04,-6.49178814e-03,1.43507389e-05,-8.76256323e-04,1.47828306e-04,164.863294,-8.232843,0.000411,0.000000
9.48000000e-04,-6.49178618e-03,1.66116581e-05,-8.76236942e-04,1.58818582e-04,164.863477,-8.233053,0.000547,0.000000
1.07440000e-03,-6.49178394e-03,1.88715608e-05,-8.76216174e-04,1.69784171e-04,164.863716,-8.233284,0.000702,0.000000
1.20080000e-03,-6.49178141e-03,2.11304299e-05,-8.76194022e-04,1.80723842e-04,164.864024,-8.233532,0.000877,0.000000
1.32720000e-03,-6.49177860e-03,2.33882479e-05,-8.76170489e-04,1.91636365e-04,164.864411,-8.233793,0.001072,0.000000
1.45360000e-03,-6.49177550e-03,2.56449977e-05,-8.76145578e-04,2.02520518e-04,164.864891,-8.234063,0.001286,0.000000
1.58000000e-03,-6.49177211e-03,2.79006616e-05,-8.76119293e-04,2.13375079e-04,164.865476,-8.234338,0.001519,0.000000
1.70640000e-03,-6.49176844e-03,3.01943984e-05,-8.76091644e-04,2.23997003e-04,164.866181,-8.234614,0.001772,0.000000
1.83280000e-03,-6.49176447e-03,3.26038865e-05,-8.76062695e-04,2.33984832e-04,164.867018,-8.234886,0.002044,0.000000
1.89600000e-03,-6.49176237e-03,3.39472334e-05,-8.76047769e-04,2.38371291e-04,164.868002,-8.235149,0.002187,0.000000
2.02240000e-03,-6.49175791e-03,3.66328534e-05,-8.76017086e-04,2.47119894e-04,164.869144,-8.235399,0.002489,0.000000
2.14880000e-03,-6.49175311e-03,3.93170157e-05,-8.75985298e-04,2.55835272e-04,164.870458,-8.235631,0.002810,0.000000
2.27520000e-03,-6.49174797e-03,4.19990461e-05,-8.75952412e-04,2.64513537e-04,164.871955,-8.235841,0.003150,0.000000
2.40160000e-03,-6.49174249e-03,4.46659007e-05,-8.75918434e-04,2.73094546e-04,164.873646,-8.236024,0.003509,0.000000
2.52800000e-03,-6.49173668e-03,4.73024071e-05,-8.75883378e-04,2.81562307e-04,164.875541,-8.236176,0.003889,0.000000
2.65440000e-03,-6.49173054e-03,4.98985595e-05,-8.75847258e-04,2.89959909e-04,164.877650,-8.236294,0.004287,0.000000
2.78080000e-03,-6.49172407e-03,5.24443576e-05,-8.75810075e-04,2.98412359e-04,164.879980,-8.236373,0.004705,0.000000
2.90720000e-03,-6.49171728e-03,5.48873584e-05,-8.75771805e-04,3.07166655e-04,164.882537,-8.236411,0.005143,0.000000
3.03360000e-03,-6.49171019e-03,5.73032949e-05,-8.75732425e-04,3.15922772e-04,164.885328,-8.236404,0.005599,0.000000
3.16000000e-03,-6.49170280e-03,5.97206841e-05,-8.75691944e-04,3.24593826e-04,164.888356,-8.236350,0.006076,0.000000
3.28640000e-03,-6.49169510e-03,6.20970402e-05,-8.75650369e-04,3.33218811e-04,164.891623,-8.236246,0.006571,0.000000
3.41280000e-03,-6.49168710e-03,6.43684558e-05,-8.75607709e-04,3.41787800e-04,164.895133,-8.236091,0.007087,0.000000
3.53920000e-03,-6.49167882e-03,6.66571276e-05,-8.75563958e-04,3.50496459e-04,164.898883,-8.235882,0.007621,0.000000
3.66560000e-03,-6.49167025e-03,6.89561113e-05,-8.75519103e-04,3.59224557e-04,164.902875,-8.235619,0.008175,0.000000
3.72880000e-03,-6.49166586e-03,7.00891687e-05,-8.75496272e-04,3.63289855e-04,164.907105,-8.235301,0.008459,0.000000
3.85520000e-03,-6.49165686e-03,7.23540715e-05,-8.75449840e-04,3.71385786e-04,164.911571,-8.234927,0.009043,0.000000
3.98160000e-03,-6.49164757e-03,7.46173376e-05,-8.75402388e-04,3.79434761e-04,164.916268,-8.234497,0.009645,0.000000
4.10800000e-03,-6.49163800e-03,7.68529456e-05,-8.75353916e-04,3.87544656e-04,164.921191,-8.234011,0.010267,0.000000
4.23440000e-03,-6.49162814e-03,7.90464917e-05,-8.75304411e-04,3.95766016e-04,164.926335,-8.233470,0.010909,0.000000
4.36080000e-03,-6.49161801e-03,8.12107895e-05,-8.75253867e-04,4.04012371e-04,164.931693,-8.232875,0.011570,0.000000
4.48720000e-03,-6.49160762e-03,8.32584714e-05,-8.75202261e-04,4.12574256e-04,164.937259,-8.232226,0.012250,0.000000
4.61360000e-03,-6.49159697e-03,8.52637229e-05,-8.75149577e-04,4.20973891e-04,164.943024,-8.231525,0.012950,0.000000
4.74000000e-03,-6.49158607e-03,8.72137179e-05,-8.75095836e-04,4.29445410e-04,164.948982,-8.230774,0.013669,0.000000
4.86640000e-03,-6.49157492e-03,8.90807338e-05,-8.75040994e-04,4.38342666e-04,164.955123,-8.229973,0.014407,0.000000
4.99280000e-03,-6.49156355e-03,9.09075420e-05,-8.74985016e-04,4.47426343e-04,164.961441,-8.229125,0.015165,0.000000
5.11920000e-03,-6.49155195e-03,9.26221895e-05,-8.74927874e-04,4.56767032e-04,164.967927,-8.228231,0.015943,0.000000
5.24560000e-03,-6.49154014e-03,9.42333774e-05,-8.74869536e-04,4.66323789e-04,164.974573,-8.227293,0.016740,0.000000
5.37200000e-03,-6.49152813e-03,9.57882431e-05,-8.74809978e-04,4.76100212e-04,164.981371,-8.226313,0.017556,0.000000
5.49840000e-03,-6.49151592e-03,9.73298085e-05,-8.74749171e-04,4.86036145e-04,164.988312,-8.225294,0.018392,0.000000
5.56160000e-03,-6.49150975e-03,9.80263497e-05,-8.74718296e-04,4.91007810e-04,164.995391,-8.224236,0.018817,0.000000
5.68800000e-03,-6.49149727e-03,9.94184239e-05,-8.74655606e-04,5.00904584e-04,165.002599,-8.223142,0.019681,0.000000
5.81440000e-03,-6.49148462e-03,1.00809151e-04,-8.74591670e-04,5.10738375e-04,165.009928,-8.222014,0.020566,0.000000
5.94080000e-03,-6.49147179e-03,1.02191890e-04,-8.74526494e-04,5.20521234e-04,165.017373,-8.220854,0.021469,0.000000
6.06720000e-03,-6.49145878e-03,1.03527051e-04,-8.74460081e-04,5.30330917e-04,165.024927,-8.219662,0.022392,0.000000
6.19360000e-03,-6.49144562e-03,1.04816081e-04,-8.74392425e-04,5.40173960e-04,165.032584,-8.218442,0.023335,0.000000
6.32000000e-03,-6.49143229e-03,1.06071920e-04,-8.74323526e-04,5.49993810e-04,165.040338,-8.217194,0.024297,0.000000
6.44640000e-03,-6.49141880e-03,1.07309036e-04,-8.74253389e-04,5.59768799e-04,165.048183,-8.215920,0.025278,0.000000
6.57280000e-03,-6.49140516e-03,1.08530904e-04,-8.74182015e-04,5.69586079e-04,165.056114,-8.214622,0.026278,0.000000
6.69920000e-03,-6.49139137e-03,1.09687730e-04,-8.74109393e-04,5.79502324e-04,165.064126,-8.213300,0.027299,0.000000
6.82560000e-03,-6.49137743e-03,1.10770867e-04,-8.74035514e-04,5.89489266e-04,165.072214,-8.211956,0.028338,0.000000
6.95200000e-03,-6.49136337e-03,1.11808115e-04,-8.73960366e-04,5.99572479e-04,165.080374,-8.210592,0.029397,0.000000
7.07840000e-03,-6.49134917e-03,1.12800920e-04,-8.73883937e-04,6.09761503e-04,165.088600,-8.209208,0.030475,0.000000
7.20480000e-03,-6.49133486e-03,1.13686059e-04,-8.73806217e-04,6.20004315e-04,165.096889,-8.207806,0.031573,0.000000
7.33120000e-03,-6.49132044e-03,1.14468867e-04,-8.73727191e-04,6.30437005e-04,165.105236,-8.206387,0.032690,0.000000
7.39440000e-03,-6.49131319e-03,1.14738882e-04,-8.73687170e-04,6.36030558e-04,165.113638,-8.204951,0.033256,0.000000
7.52080000e-03,-6.49129866e-03,1.15278297e-04,-8.73606072e-04,6.47157942e-04,165.122090,-8.203500,0.034402,0.000000
7.64720000e-03,-6.49128405e-03,1.15816903e-04,-8.73523572e-04,6.58204676e-04,165.130589,-8.202035,0.035567,0.000000
7.77360000e-03,-6.49126938e-03,1.16354718e-04,-8.73439681e-04,6.69169543e-04,165.139130,-8.200557,0.036752,0.000000
7.90000000e-03,-6.49125464e-03,1.16862564e-04,-8.73354407e-04,6.80104322e-04,165.147709,-8.199066,0.037956,0.000000
8.02640000e-03,-6.49123984e-03,1.17309567e-04,-8.73267749e-04,6.91099165e-04,165.156324,-8.197565,0.039180,0.000000
8.15280000e-03,-6.49122498e-03,1.17688141e-04,-8.73179691e-04,7.02242688e-04,165.164970,-8.196053,0.040423,0.000000
8.27920000e-03,-6.49121009e-03,1.17976912e-04,-8.73090216e-04,7.13521870e-04,165.173644,-8.194533,0.041685,0.000000
8.40560000e-03,-6.49119516e-03,1.18209539e-04,-8.72999310e-04,7.24866907e-04,165.182341,-8.193004,0.042967,0.000000
8.53200000e-03,-6.49118021e-03,1.18408298e-04,-8.72906968e-04,7.36254525e-04,165.191059,-8.191468,0.044268,0.000000
8.65840000e-03,-6.49116523e-03,1.18552567e-04,-8.72813180e-04,7.47774211e-04,165.199793,-8.189926,0.045589,0.000000
8.78480000e-03,-6.49115024e-03,1.18582305e-04,-8.72717917e-04,7.59569942e-04,165.208541,-8.188380,0.046929,0.000000
8.91120000e-03,-6.49113526e-03,1.18531598e-04,-8.72621166e-04,7.71295029e-04,165.217297,-8.186829,0.048288,0.000000
9.03760000e-03,-6.49112028e-03,1.18476746e-04,-8.72522936e-04,7.82973072e-04,165.226060,-8.185276,0.049667,0.000000
9.16400000e-03,-6.49110530e-03,1.18434541e-04,-8.72423232e-04,7.94596557e-04,165.234826,-8.183722,0.051065,0.000000
9.22720000e-03,-6.49109782e-03,1.18276305e-04,-8.72372818e-04,8.00803414e-04,165.243590,-8.182167,0.051771,0.000000
9.35360000e-03,-6.49108289e-03,1.17959845e-04,-8.72270815e-04,8.13142476e-04,165.252351,-8.180612,0.053198,0.000000
9.48000000e-03,-6.49106800e-03,1.17643432e-04,-8.72167259e-04,8.25380872e-04,165.261104,-8.179060,0.054645,0.000000
9.60640000e-03,-6.49105315e-03,1.17301513e-04,-8.72062161e-04,8.37589592e-04,165.269845,-8.177510,0.056110,0.000000
9.73280000e-03,-6.49103835e-03,1.16877846e-04,-8.71955510e-04,8.49938082e-04,165.278572,-8.175965,0.057595,0.000000
9.85920000e-03,-6.49102361e-03,1.16402640e-04,-8.71847291e-04,8.62408734e-04,165.287282,-8.174424,0.059100,0.000000
9.98560000e-03,-6.49100893e-03,1.15889442e-04,-8.71737491e-04,8.74946417e-04,165.295971,-8.172890,0.060624,0.000000
1.01120000e-02,-6.49099432e-03,1.15322208e-04,-8.71626105e-04,8.87485945e-04,165.304636,-8.171363,0.062167,0.000000
1.02384000e-02,-6.49097978e-03,1.14677479e-04,-8.71513135e-04,9.00023787e-04,165.313274,-8.169845,0.063729,0.000000
1.03648000e-02,-6.49096533e-03,1.13950688e-04,-8.71398574e-04,9.12666505e-04,165.321883,-8.168335,0.065311,0.000000
1.04912000e-02,-6.49095097e-03,1.13170020e-04,-8.71282406e-04,9.25474048e-04,165.330459,-8.166837,0.066913,0.000000
