t,h,hd,alpha,ad,Fy,Mz,W_gust,delta
6.32000000e-05,-6.49179386e-03,1.21002145e-06,-8.76343456e-04,7.66687922e-05,132.963740,-6.643096,0.000002,0.000000
1.89600000e-04,-6.49179347e-03,5.03665730e-06,-8.76333659e-04,7.83774258e-05,132.892969,-6.639528,0.000021,0.000000
3.16000000e-04,-6.49179257e-03,9.09668439e-06,-8.76323528e-04,8.28014542e-05,132.752849,-6.632464,0.000059,0.000000
4.42400000e-04,-6.49179120e-03,1.26199781e-05,-8.76312536e-04,9.14818523e-05,132.547646,-6.622117,0.000116,0.000000
5.68800000e-04,-6.49178941e-03,1.55618423e-05,-8.76300332e-04,1.01903572e-04,132.280393,-6.608639,0.000193,0.000000
6.95200000e-04,-6.49178728e-03,1.79679368e-05,-8.76286706e-04,1.13953899e-04,131.955279,-6.592242,0.000288,0.000000
8.21600000e-04,-6.49178488e-03,1.99673575e-05,-8.76271471e-04,1.27294528e-04,131.579981,-6.573310,0.000402,0.000000
9.79600000e-04,-6.49178155e-03,2.22253680e-05,-8.76250001e-04,1.44169815e-04,131.161478,-6.552193,0.000571,0.000000
1.10600000e-03,-6.49177863e-03,2.40108457e-05,-8.76230965e-04,1.57037915e-04,130.707282,-6.529268,0.000728,0.000000
1.23240000e-03,-6.49177548e-03,2.57954410e-05,-8.76210303e-04,1.69880311e-04,130.225181,-6.504926,0.000904,0.000000
1.35880000e-03,-6.49177211e-03,2.76026142e-05,-8.76188022e-04,1.82614304e-04,129.721500,-6.479486,0.001099,0.000000
1.48520000e-03,-6.49176849e-03,2.95729895e-05,-8.76164165e-04,1.94743373e-04,129.204809,-6.453375,0.001313,0.000000
1.61160000e-03,-6.49176462e-03,3.17163926e-05,-8.76138825e-04,2.06066942e-04,128.683147,-6.426997,0.001546,0.000000
1.73800000e-03,-6.49176047e-03,3.40325573e-05,-8.76112105e-04,2.16592352e-04,128.161265,-6.400592,0.001798,0.000000
1.89600000e-03,-6.49173889e-03,5.42118212e-04,-8.76069955e-04,4.48721988e-04,127.644395,-6.374420,0.002139,0.000000
2.02240000e-03,-6.49160640e-03,1.55420538e-03,-8.75984848e-04,8.97872399e-04,127.136601,-6.348687,0.002434,0.000000
2.14880000e-03,-6.49134601e-03,2.56571489e-03,-8.75842981e-04,1.34683451e-03,126.640653,-6.323531,0.002748,0.000000
2.27520000e-03,-6.49095781e-03,3.57662790e-03,-8.75644378e-04,1.79556352e-03,126.159410,-6.299092,0.003081,0.000000
2.40160000e-03,-6.49044187e-03,4.58692560e-03,-8.75389074e-04,2.24401464e-03,125.691803,-6.275319,0.003432,0.000000
2.52800000e-03,-6.48979826e-03,5.59658921e-03,-8.75077105e-04,2.69214317e-03,125.235375,-6.252089,0.003803,0.000000
2.65440000e-03,-6.48902708e-03,6.60559995e-03,-8.74708516e-04,3.13990446e-03,124.788853,-6.229336,0.004193,0.000000
2.81240000e-03,-6.48789978e-03,7.36079302e-03,-8.74175160e-04,3.47977803e-03,124.348289,-6.206863,0.004707,0.000000
2.93880000e-03,-6.48696952e-03,7.35843942e-03,-8.73734783e-04,3.48815137e-03,123.908670,-6.184418,0.005139,0.000000
3.06520000e-03,-6.48603957e-03,7.35594852e-03,-8.73293370e-04,3.49616733e-03,123.464106,-6.161704,0.005591,0.000000
3.19160000e-03,-6.48510994e-03,7.35332046e-03,-8.72850967e-04,3.50382516e-03,123.006568,-6.138321,0.006062,0.000000
3.31800000e-03,-6.48418065e-03,7.35067234e-03,-8.72407637e-04,3.51066553e-03,122.530101,-6.113968,0.006551,0.000000
3.44440000e-03,-6.48325169e-03,7.34809790e-03,-8.71963518e-04,3.51641673e-03,122.027420,-6.088278,0.007060,0.000000
3.57080000e-03,-6.48232305e-03,7.34552090e-03,-8.71518713e-04,3.52156683e-03,121.491288,-6.060890,0.007588,0.000000
3.72880000e-03,-6.48116272e-03,7.34211978e-03,-8.70961837e-04,3.52730403e-03,120.914767,-6.031454,0.008274,0.000000
3.85520000e-03,-6.48023486e-03,7.33923182e-03,-8.70515729e-04,3.53130243e-03,120.291455,-5.999650,0.008844,0.000000
3.98160000e-03,-6.47930737e-03,7.33620729e-03,-8.70069139e-04,3.53494100e-03,119.615699,-5.965193,0.009434,0.000000
4.10800000e-03,-6.47838027e-03,7.33304632e-03,-8.69622111e-04,3.53821951e-03,118.884266,-5.927918,0.010042,0.000000
4.23440000e-03,-6.47745358e-03,7.32974906e-03,-8.69174692e-04,3.54113776e-03,118.092513,-5.887595,0.010670,0.000000
4.36080000e-03,-6.47652732e-03,7.32631564e-03,-8.68726927e-04,3.54369560e-03,117.238167,-5.844108,0.011316,0.000000
4.48720000e-03,-6.47560150e-03,7.32274623e-03,-8.68278861e-04,3.54589290e-03,116.320287,-5.797409,0.011981,0.000000
4.64520000e-03,-6.47444489e-03,7.31749395e-03,-8.67718362e-04,3.55014614e-03,115.339298,-5.747520,0.012840,0.000000
4.77160000e-03,-6.47352027e-03,7.31242068e-03,-8.67269278e-04,3.55555716e-03,114.297005,-5.694530,0.013548,0.000000
4.89800000e-03,-6.47259631e-03,7.30721265e-03,-8.66819533e-04,3.56060409e-03,113.196551,-5.638595,0.014275,0.000000
5.02440000e-03,-6.47167301e-03,7.30190798e-03,-8.66369178e-04,3.56509837e-03,112.042343,-5.579937,0.015022,0.000000
5.15080000e-03,-6.47075039e-03,7.29659373e-03,-8.65918317e-04,3.56868323e-03,110.839945,-5.518833,0.015787,0.000000
5.27720000e-03,-6.46982844e-03,7.29124536e-03,-8.65467028e-04,3.57191520e-03,109.597070,-5.455668,0.016571,0.000000
5.40360000e-03,-6.46890716e-03,7.28582861e-03,-8.65015355e-04,3.57473469e-03,108.319775,-5.390746,0.017374,0.000000
5.56160000e-03,-6.46774058e-03,7.78421865e-03,-8.64443401e-04,3.79620441e-03,107.016268,-5.324476,0.018405,0.000000
5.68800000e-03,-6.46669316e-03,8.78873858e-03,-8.63935816e-04,4.23511760e-03,105.695247,-5.257295,0.019251,0.000000
5.81440000e-03,-6.46551882e-03,9.79254824e-03,-8.63372785e-04,4.67351241e-03,104.365722,-5.189653,0.020116,0.000000
5.94080000e-03,-6.46421764e-03,1.07956290e-02,-8.62754376e-04,5.11134538e-03,103.036832,-5.122005,0.021000,0.000000
6.06720000e-03,-6.46278971e-03,1.17979623e-02,-8.62080663e-04,5.54857312e-03,101.717661,-5.054807,0.021903,0.000000
6.19360000e-03,-6.46123514e-03,1.27995294e-02,-8.61351724e-04,5.98515234e-03,100.415964,-4.988447,0.022825,0.000000
6.32000000e-03,-6.45955402e-03,1.38003119e-02,-8.60567645e-04,6.42103984e-03,99.141655,-4.923421,0.023766,0.000000
6.47800000e-03,-6.45729081e-03,1.45442637e-02,-8.59516988e-04,6.74825096e-03,97.902718,-4.860127,0.024969,0.000000
6.60440000e-03,-6.45545320e-03,1.45318450e-02,-8.58663937e-04,6.74929053e-03,96.706571,-4.798938,0.025953,0.000000
6.73080000e-03,-6.45361717e-03,1.45191588e-02,-8.57810796e-04,6.74964869e-03,95.559991,-4.740191,0.026955,0.000000
6.85720000e-03,-6.45178276e-03,1.45062194e-02,-8.56957655e-04,6.74928444e-03,94.467587,-4.684118,0.027977,0.000000
6.98360000e-03,-6.44994999e-03,1.44933073e-02,-8.56104646e-04,6.74736316e-03,93.435754,-4.631037,0.029018,0.000000
7.11000000e-03,-6.44811885e-03,1.44805025e-02,-8.55251988e-04,6.74385710e-03,92.469009,-4.581175,0.030077,0.000000
7.23640000e-03,-6.44628932e-03,1.44677261e-02,-8.54399852e-04,6.73910682e-03,91.571145,-4.534720,0.031156,0.000000
7.39440000e-03,-6.44398872e-03,1.49569105e-02,-8.53328755e-04,6.94969307e-03,90.745257,-4.491826,0.032531,0.000000
7.52080000e-03,-6.44203515e-03,1.59539278e-02,-8.52423177e-04,7.37894252e-03,89.993796,-4.452615,0.033653,0.000000
7.64720000e-03,-6.43995560e-03,1.69501032e-02,-8.51463393e-04,7.80736497e-03,89.318631,-4.417180,0.034793,0.000000
7.77360000e-03,-6.43775020e-03,1.79454180e-02,-8.50449512e-04,8.23491820e-03,88.722598,-4.385659,0.035952,0.000000
7.90000000e-03,-6.43541904e-03,1.89398541e-02,-8.49381644e-04,8.66156015e-03,88.205586,-4.358047,0.037131,0.000000
8.02640000e-03,-6.43296224e-03,1.99333929e-02,-8.48259909e-04,9.08724885e-03,87.768281,-4.334378,0.038328,0.000000
8.15280000e-03,-6.43037992e-03,2.09260161e-02,-8.47084430e-04,9.51194247e-03,87.411110,-4.314672,0.039545,0.000000
8.31080000e-03,-6.42699166e-03,2.16593292e-02,-8.45546459e-04,9.82741110e-03,87.134310,-4.298940,0.041092,0.000000
8.43720000e-03,-6.42425527e-03,2.16379462e-02,-8.44304610e-04,9.82192513e-03,86.937999,-4.287185,0.042351,0.000000
8.56360000e-03,-6.42152161e-03,2.16161659e-02,-8.43063517e-04,9.81545467e-03,86.822222,-4.279408,0.043629,0.000000
8.69000000e-03,-6.41879073e-03,2.15938729e-02,-8.41823325e-04,9.80751888e-03,86.785521,-4.275537,0.044926,0.000000
8.81640000e-03,-6.41606270e-03,2.15712058e-02,-8.40584266e-04,9.79742522e-03,86.828930,-4.275618,0.046242,0.000000
8.94280000e-03,-6.41333752e-03,2.15487416e-02,-8.39346646e-04,9.78479464e-03,86.952327,-4.279646,0.047577,0.000000
9.06920000e-03,-6.41061517e-03,2.15262760e-02,-8.38110743e-04,9.77038145e-03,87.155555,-4.287610,0.048931,0.000000
9.22720000e-03,-6.40720029e-03,2.20034190e-02,-8.36561726e-04,9.96679203e-03,87.438383,-4.299497,0.050650,0.000000
9.35360000e-03,-6.40435663e-03,2.29910473e-02,-8.35275671e-04,1.03819992e-02,87.800463,-4.315290,0.052047,0.000000
9.48000000e-03,-6.40138819e-03,2.39777050e-02,-8.33937204e-04,1.07960885e-02,88.241269,-4.334960,0.053462,0.000000
9.60640000e-03,-6.39829510e-03,2.49633741e-02,-8.32546469e-04,1.12090194e-02,88.761498,-4.358540,0.054897,0.000000
9.73280000e-03,-6.39507749e-03,2.59480361e-02,-8.31103615e-04,1.16207517e-02,89.359003,-4.385924,0.056350,0.000000
9.85920000e-03,-6.39173548e-03,2.69316730e-02,-8.29608795e-04,1.20312452e-02,90.033487,-4.417098,0.057823,0.000000
9.98560000e-03,-6.38826921e-03,2.79142667e-02,-8.28062170e-04,1.24404599e-02,90.781638,-4.451898,0.059314,0.000000
1.01436000e-02,-6.38377784e-03,2.86340284e-02,-8.26062956e-04,1.27390501e-02,91.601014,-4.490204,0.061205,0.000000
1.02700000e-02,-6.38016060e-03,2.86006593e-02,-8.24453730e-04,1.27231831e-02,92.488488,-4.531863,0.062740,0.000000
1.03964000e-02,-6.37654762e-03,2.85667670e-02,-8.22846589e-04,1.27060491e-02,93.440172,-4.576683,0.064293,0.000000
1.05228000e-02,-6.37293895e-03,2.85324437e-02,-8.21241701e-04,1.26873105e-02,94.449882,-4.624363,0.065865,0.000000
1.06492000e-02,-6.36933461e-03,2.84982371e-02,-8.19639397e-04,1.26649732e-02,95.513062,-4.674678,0.067456,0.000000
1.07756000e-02,-6.36573459e-03,2.84641784e-02,-8.18040113e-04,1.26397432e-02,96.621978,-4.727249,0.069066,0.000000
1.09020000e-02,-6.36213886e-03,2.84301652e-02,-8.16444175e-04,1.26120165e-02,97.770476,-4.781776,0.070695,0.000000
1.10600000e-02,-6.35763428e-03,2.88931800e-02,-8.14447644e-04,1.27887691e-02,98.950016,-4.837842,0.072758,0.000000
1.11864000e-02,-6.35392047e-03,2.98695840e-02,-8.12806033e-04,1.31858543e-02,100.151182,-4.894984,0.074430,0.000000
1.13128000e-02,-6.35008330e-03,3.08448926e-02,-8.11114318e-04,1.35815548e-02,101.363740,-4.952702,0.076120,0.000000
1.14392000e-02,-6.34612292e-03,3.18190877e-02,-8.09372676e-04,1.39758324e-02,102.578205,-5.010531,0.077830,0.000000
1.15656000e-02,-6.34203948e-03,3.27921515e-02,-8.07581289e-04,1.43686489e-02,103.781966,-5.067853,0.079558,0.000000
1.16920000e-02,-6.33783312e-03,3.37640660e-02,-8.05740345e-04,1.47599666e-02,104.963090,-5.124086,0.081306,0.000000
1.18184000e-02,-6.33350397e-03,3.47348132e-02,-8.03850035e-04,1.51497475e-02,106.109361,-5.178631,0.083072,0.000000
1.19764000e-02,-6.32793615e-03,3.54391826e-02,-8.01424643e-04,1.54253670e-02,107.208463,-5.230886,0.085307,0.000000
1.21028000e-02,-6.32345956e-03,3.53928688e-02,-7.99476915e-04,1.53928539e-02,108.248184,-5.280253,0.087116,0.000000
1.22292000e-02,-6.31898886e-03,3.53459092e-02,-7.97533393e-04,1.53588206e-02,109.216631,-5.326151,0.088944,0.000000
1.23556000e-02,-6.31452414e-03,3.52983050e-02,-7.95594269e-04,1.53232716e-02,110.100966,-5.367950,0.090791,0.000000
1.24820000e-02,-6.31006546e-03,3.52506085e-02,-7.93659785e-04,1.52850096e-02,110.891605,-5.405181,0.092657,0.000000
1.26084000e-02,-6.30561277e-03,3.52032602e-02,-7.91730378e-04,1.52430153e-02,111.578770,-5.437367,0.094542,0.000000
1.27348000e-02,-6.30116607e-03,3.51558987e-02,-7.89806483e-04,1.51979562e-02,112.153810,-5.464083,0.096445,0.000000
1.28928000e-02,-6.29561617e-03,3.50958699e-02,-7.87409824e-04,1.51388912e-02,112.609376,-5.484968,0.098852,0.000000
1.30192000e-02,-6.29118313e-03,3.50470839e-02,-7.85499373e-04,1.50895299e-02,112.939562,-5.499735,0.100798,0.000000
1.31456000e-02,-6.28675629e-03,3.49976595e-02,-7.83595254e-04,1.50386912e-02,113.140035,-5.508171,0.102764,0.000000
1.32720000e-02,-6.28233574e-03,3.49475978e-02,-7.81697654e-04,1.49863815e-02,113.209596,-5.510213,0.104748,0.000000
1.33984000e-02,-6.27792157e-03,3.48969001e-02,-7.79806758e-04,1.49326071e-02,113.146239,-5.505767,0.106751,0.000000
1.35248000e-02,-6.27351383e-03,3.48455674e-02,-7.77922752e-04,1.48773749e-02,112.951961,-5.494928,0.108773,0.000000
1.36512000e-02,-6.26911263e-03,3.47936012e-02,-7.76045819e-04,1.48206916e-02,112.627968,-5.477756,0.110814,0.000000
1.38092000e-02,-6.26362048e-03,3.47263840e-02,-7.73709711e-04,1.47530760e-02,112.178590,-5.454461,0.113392,0.000000
1.39356000e-02,-6.25923460e-03,3.46702575e-02,-7.71848029e-04,1.47036844e-02,111.609729,-5.425332,0.115476,0.000000
1.40620000e-02,-6.25485586e-03,3.46135032e-02,-7.69992680e-04,1.46528559e-02,110.928736,-5.390727,0.117578,0.000000
1.41884000e-02,-6.25048433e-03,3.45561839e-02,-7.68143867e-04,1.45999840e-02,110.144261,-5.351069,0.119700,0.000000
1.43148000e-02,-6.24612007e-03,3.44985462e-02,-7.66301955e-04,1.45435857e-02,109.266081,-5.306835,0.121840,0.000000
1.44412000e-02,-6.24176309e-03,3.44411711e-02,-7.64467403e-04,1.44835484e-02,108.303782,-5.258493,0.123999,0.000000
1.45676000e-02,-6.23741334e-03,3.43839071e-02,-7.62640647e-04,1.44203102e-02,107.270201,-5.206670,0.126178,0.000000
1.47256000e-02,-6.23197036e-03,3.48183667e-02,-7.60362025e-04,1.45491560e-02,106.177234,-5.151948,0.128927,0.000000
1.48520000e-02,-6.22750899e-03,3.57726379e-02,-7.58500593e-04,1.49036319e-02,105.037094,-5.094922,0.131148,0.000000
1.49784000e-02,-6.22292708e-03,3.67257111e-02,-7.56594451e-04,1.52565882e-02,103.862098,-5.036194,0.133387,0.000000
1.51048000e-02,-6.21822478e-03,3.76775688e-02,-7.54643793e-04,1.56079915e-02,102.664470,-4.976359,0.135646,0.000000
1.52312000e-02,-6.21340225e-03,3.86281934e-02,-7.52648818e-04,1.59578085e-02,101.456144,-4.916001,0.137923,0.000000
1.53576000e-02,-6.20845963e-03,3.95775674e-02,-7.50609728e-04,1.63060061e-02,100.249727,-4.855737,0.140220,0.000000
1.54840000e-02,-6.20339709e-03,4.05256733e-02,-7.48526729e-04,1.66525516e-02,99.054719,-4.796027,0.142535,0.000000
1.56420000e-02,-6.19691658e-03,4.12009306e-02,-7.45868070e-04,1.68772450e-02,97.881357,-4.737373,0.145456,0.000000
1.57684000e-02,-6.19171323e-03,4.11304122e-02,-7.43739159e-04,1.68077973e-02,96.739064,-4.680234,0.147814,0.000000
1.58948000e-02,-6.18651885e-03,4.10591493e-02,-7.41619128e-04,1.67367243e-02,95.636385,-4.625025,0.150190,0.000000
1.60212000e-02,-6.18133351e-03,4.09871810e-02,-7.39508184e-04,1.66639285e-02,94.579481,-4.572048,0.152586,0.000000
1.61476000e-02,-6.17615728e-03,4.09152658e-02,-7.37406658e-04,1.65872705e-02,93.576093,-4.521680,0.155001,0.000000
1.62740000e-02,-6.17099012e-03,4.08436685e-02,-7.35315102e-04,1.65063473e-02,92.630787,-4.474141,0.157434,0.000000
1.64004000e-02,-6.16583199e-03,4.07722283e-02,-7.33234008e-04,1.64217883e-02,91.749753,-4.429734,0.159886,0.000000
1.65584000e-02,-6.15938105e-03,4.11889617e-02,-7.30641348e-04,1.65224446e-02,90.936887,-4.388647,0.162978,0.000000
1.66848000e-02,-6.15411535e-03,4.21287856e-02,-7.28531965e-04,1.68535923e-02,90.195322,-4.351033,0.165473,0.000000
