t,h,hd,alpha,ad,Fy,Mz,W_gust,delta
6.32000000e-05,-6.49179398e-03,-2.59147204e-06,-8.76342964e-04,9.22195292e-05,165.876616,-8.035197,0.000007,0.175000
1.89600000e-04,-6.49179459e-03,-7.03367038e-06,-8.76329245e-04,1.24852330e-04,165.876550,-8.035325,0.000067,0.175000
3.16000000e-04,-6.49179576e-03,-1.14716123e-05,-8.76311405e-04,1.57408172e-04,165.876421,-8.035581,0.000185,0.175000
4.42400000e-04,-6.49179749e-03,-1.59051317e-05,-8.76289455e-04,1.89883425e-04,165.876240,-8.035960,0.000362,0.175000
5.68800000e-04,-6.49179978e-03,-2.03340630e-05,-8.76263406e-04,2.22274476e-04,165.876020,-8.036458,0.000599,0.175000
6.95200000e-04,-6.49180263e-03,-2.47582412e-05,-8.76233268e-04,2.54577727e-04,165.875781,-8.037068,0.000894,0.175000
8.21600000e-04,-6.49180603e-03,-2.91775016e-05,-8.76199053e-04,2.86789600e-04,165.875546,-8.037782,0.001249,0.175000
9.48000000e-04,-6.49181000e-03,-3.35916805e-05,-8.76160772e-04,3.18906530e-04,165.875346,-8.038590,0.001663,0.175000
1.07440000e-03,-6.49181453e-03,-3.80006145e-05,-8.76118437e-04,3.50924972e-04,165.875215,-8.039480,0.002136,0.175000
1.20080000e-03,-6.49181961e-03,-4.24041409e-05,-8.76072062e-04,3.82841401e-04,165.875192,-8.040439,0.002668,0.175000
1.32720000e-03,-6.49182525e-03,-4.68020974e-05,-8.76021659e-04,4.14652307e-04,165.875324,-8.041451,0.003260,0.175000
1.45360000e-03,-6.49183144e-03,-5.11943227e-05,-8.75967243e-04,4.46354202e-04,165.875665,-8.042500,0.003910,0.175000
1.58000000e-03,-6.49183819e-03,-5.55806557e-05,-8.75908826e-04,4.77943614e-04,165.876272,-8.043567,0.004619,0.175000
1.70640000e-03,-6.49184549e-03,-6.00061773e-05,-8.75846421e-04,5.09473699e-04,165.877219,-8.044628,0.005388,0.175000
