t,h,hd,alpha,ad,Fy,Mz,W_gust,delta
6.32000000e-05,-6.49179386e-03,1.21002146e-06,-8.76343456e-04,7.66687922e-05,132.963734,-6.643096,0.000002,0.000000
1.89600000e-04,-6.49179347e-03,5.03665746e-06,-8.76333659e-04,7.83774256e-05,132.892963,-6.639528,0.000022,0.000000
3.16000000e-04,-6.49179257e-03,9.09668513e-06,-8.76323528e-04,8.28014535e-05,132.752844,-6.632465,0.000061,0.000000
4.42400000e-04,-6.49179120e-03,1.26199802e-05,-8.76312536e-04,9.14818503e-05,132.547640,-6.622117,0.000119,0.000000
5.68800000e-04,-6.49178941e-03,1.55618470e-05,-8.76300332e-04,1.01903568e-04,132.280387,-6.608639,0.000197,0.000000
6.95200000e-04,-6.49178728e-03,1.79679456e-05,-8.76286706e-04,1.13953891e-04,131.955273,-6.592242,0.000294,0.000000
8.21600000e-04,-6.49178488e-03,1.99673724e-05,-8.76271471e-04,1.27294515e-04,131.579974,-6.573310,0.000411,0.000000
9.79600000e-04,-6.49178155e-03,2.22253978e-05,-8.76250001e-04,1.44169790e-04,131.161471,-6.552193,0.000584,0.000000
1.10600000e-03,-6.49177863e-03,2.40108944e-05,-8.76230965e-04,1.57037875e-04,130.707274,-6.529268,0.000744,0.000000
1.23240000e-03,-6.49177548e-03,2.57955085e-05,-8.76210303e-04,1.69880256e-04,130.225173,-6.504926,0.000924,0.000000
1.35880000e-03,-6.49177211e-03,2.76027011e-05,-8.76188022e-04,1.82614234e-04,129.721491,-6.479486,0.001123,0.000000
1.48520000e-03,-6.49176849e-03,2.95730994e-05,-8.76164165e-04,1.94743286e-04,129.204799,-6.453375,0.001342,0.000000
1.61160000e-03,-6.49176462e-03,3.17165298e-05,-8.76138825e-04,2.06066835e-04,128.683137,-6.426998,0.001580,0.000000
1.73800000e-03,-6.49176047e-03,3.40327270e-05,-8.76112105e-04,2.16592222e-04,128.161255,-6.400592,0.001838,0.000000
1.89600000e-03,-6.49173889e-03,5.42118409e-04,-8.76069955e-04,4.48721839e-04,127.644384,-6.374421,0.002187,0.000000
2.02240000e-03,-6.49160640e-03,1.55420558e-03,-8.75984848e-04,8.97872251e-04,127.136589,-6.348687,0.002489,0.000000
2.14880000e-03,-6.49134601e-03,2.56571509e-03,-8.75842981e-04,1.34683437e-03,126.640640,-6.323531,0.002810,0.000000
2.27520000e-03,-6.49095781e-03,3.57662809e-03,-8.75644379e-04,1.79556337e-03,126.159396,-6.299092,0.003150,0.000000
2.40160000e-03,-6.49044187e-03,4.58692579e-03,-8.75389074e-04,2.24401449e-03,125.691789,-6.275319,0.003509,0.000000
2.52800000e-03,-6.48979826e-03,5.59658940e-03,-8.75077105e-04,2.69214303e-03,125.235359,-6.252089,0.003889,0.000000
2.65440000e-03,-6.48902708e-03,6.60560015e-03,-8.74708516e-04,3.13990431e-03,124.788837,-6.229336,0.004287,0.000000
2.81240000e-03,-6.48789977e-03,7.36079328e-03,-8.74175160e-04,3.47977785e-03,124.348271,-6.206863,0.004813,0.000000
2.93880000e-03,-6.48696952e-03,7.35843981e-03,-8.73734783e-04,3.48815112e-03,123.908651,-6.184418,0.005255,0.000000
3.06520000e-03,-6.48603957e-03,7.35594904e-03,-8.73293370e-04,3.49616701e-03,123.464086,-6.161704,0.005717,0.000000
3.19160000e-03,-6.48510994e-03,7.35332110e-03,-8.72850967e-04,3.50382477e-03,123.006547,-6.138321,0.006198,0.000000
3.31800000e-03,-6.48418065e-03,7.35067312e-03,-8.72407638e-04,3.51066506e-03,122.530079,-6.113968,0.006698,0.000000
3.44440000e-03,-6.48325169e-03,7.34809883e-03,-8.71963519e-04,3.51641617e-03,122.027396,-6.088278,0.007218,0.000000
3.57080000e-03,-6.48232305e-03,7.34552198e-03,-8.71518713e-04,3.52156619e-03,121.491263,-6.060890,0.007758,0.000000
3.72880000e-03,-6.48116272e-03,7.34212108e-03,-8.70961838e-04,3.52730328e-03,120.914741,-6.031454,0.008459,0.000000
