sim_id,family,split,W0,Tg,r_g,controller,K_ff,t_d,delta_pk,rate_max,R_star,t_end
sim_A_001_train,A,train,24.3228,0.6281,0.304,schedule,,,,,,1.5281
sim_A_002_train,A,train,36.5887,0.9365,0.4574,schedule,,,,,,1.8365
sim_A_003_train,A,train,38.3082,0.99,0.4789,schedule,,,,,,1.89
sim_A_004_train,A,train,12.9359,0.8329,0.1617,schedule,,,,,,1.7329
sim_A_005_train,A,train,15.1719,0.3978,0.1896,schedule,,,,,,1.2978
sim_A_006_train,A,train,47.098,0.8838,0.5887,schedule,,,,,,1.7838
sim_A_007_train,A,train,22.5483,1.1652,0.2819,schedule,,,,,,2.0652
sim_A_008_train,A,train,40.7499,1.0267,0.5094,schedule,,,,,,1.9267
sim_A_009_train,A,train,27.0001,0.5333,0.3375,schedule,,,,,,1.4333
sim_A_010_train,A,train,16.103,0.3324,0.2013,schedule,,,,,,1.2324
sim_A_011_train,A,train,10.3636,0.6828,0.1295,schedule,,,,,,1.5828
sim_A_012_train,A,train,45.948,0.4454,0.5744,schedule,,,,,,1.3454
sim_A_013_train,A,train,19.0102,1.094,0.2376,schedule,,,,,,1.994
sim_A_014_train,A,train,21.7431,0.5847,0.2718,schedule,,,,,,1.4847
sim_A_015_train,A,train,9.9413,0.7689,0.1243,schedule,,,,,,1.6689
sim_A_016_train,A,train,32.3399,0.7256,0.4042,schedule,,,,,,1.6256
sim_A_017_train,A,train,28.8163,0.3679,0.3602,schedule,,,,,,1.2679
sim_A_018_train,A,train,43.9349,1.1518,0.5492,schedule,,,,,,2.0518
sim_A_019_train,A,train,31.3112,0.4867,0.3914,schedule,,,,,,1.3867
sim_A_020_train,A,train,34.2545,0.9299,0.4282,schedule,,,,,,1.8299
sim_A_021_val,A,val,31.1228,1.1425,0.389,schedule,,,,,,2.0425
sim_A_022_val,A,val,39.923,0.4015,0.499,schedule,,,,,,1.3015
sim_A_023_val,A,val,43.482,0.8086,0.5435,schedule,,,,,,1.7086
sim_A_024_val,A,val,19.1498,0.5534,0.2394,schedule,,,,,,1.4534
sim_A_025_val,A,val,15.395,1.0137,0.1924,schedule,,,,,,1.9137
sim_A_026_test,A,test,33.0603,0.5147,0.4133,schedule,,,,,,1.4147
sim_A_027_test,A,test,24.7968,0.3805,0.31,schedule,,,,,,1.2805
sim_A_028_test,A,test,41.3565,0.6762,0.517,schedule,,,,,,1.5762
sim_A_029_test,A,test,11.8582,0.8566,0.1482,schedule,,,,,,1.7566
sim_A_030_test,A,test,17.3342,1.1136,0.2167,schedule,,,,,,2.0136
sim_B_001_train,B,train,0,0,0,schedule,,,-13.4602,144.3958,,1.8
sim_B_002_train,B,train,0,0,0,schedule,,,-11.0961,122.2126,,1.8
sim_B_003_train,B,train,0,0,0,schedule,,,-9.429,112.9157,,1.8
sim_B_004_train,B,train,0,0,0,schedule,,,14.7023,185.5357,,1.8
sim_B_005_train,B,train,0,0,0,schedule,,,-12.4541,128.4793,,1.8
sim_B_006_train,B,train,0,0,0,schedule,,,3.7175,165.0224,,1.8
sim_B_007_train,B,train,0,0,0,schedule,,,-11.2576,34.5888,,1.8
sim_B_008_train,B,train,0,0,0,schedule,,,11.9815,66.3339,,1.8
sim_B_009_train,B,train,0,0,0,schedule,,,-4.1663,21.9192,,1.8
sim_B_010_train,B,train,0,0,0,schedule,,,4.4728,105.7291,,1.8
sim_B_011_train,B,train,0,0,0,schedule,,,6.5306,96.6202,,1.8
sim_B_012_train,B,train,0,0,0,schedule,,,12.9294,27.2727,,1.8
sim_B_013_train,B,train,0,0,0,schedule,,,-2.9343,170.4002,,1.8
sim_B_014_train,B,train,0,0,0,schedule,,,6.1522,42.7123,,1.8
sim_B_015_train,B,train,0,0,0,schedule,,,-8.2097,90.4795,,1.8
sim_B_016_train,B,train,0,0,0,schedule,,,11.8627,137.0582,,1.8
sim_B_017_train,B,train,0,0,0,schedule,,,-7.0942,116.443,,1.8
sim_B_018_train,B,train,0,0,0,schedule,,,4.6574,190.2141,,1.8
sim_B_019_train,B,train,0,0,0,schedule,,,-5.1634,148.1447,,1.8
sim_B_020_train,B,train,0,0,0,schedule,,,-8.775,154.5183,,1.8
sim_B_021_train,B,train,0,0,0,schedule,,,-14.0822,180.6449,,1.8
sim_B_022_train,B,train,0,0,0,schedule,,,2.0744,48.1249,,1.8
sim_B_023_train,B,train,0,0,0,schedule,,,14.2796,80.7358,,1.8
sim_B_024_train,B,train,0,0,0,schedule,,,2.8588,59.1676,,1.8
sim_B_025_train,B,train,0,0,0,schedule,,,10.4311,162.841,,1.8
