W0,Tg,H_m,H_ft,k,cex0,cex,clred,Rstar,flap_max,pitch_ratio,flag
10,0.3,12.0,39,0.131,0.1344,0.0092,93.1,0.0001,5.1,1.54,
10,0.4,16.0,52,0.098,0.1698,0.0116,93.2,0.0001,4.1,1.17,
10,0.5,20.0,66,0.079,0.202,0.0115,94.3,0.0001,4.5,1.13,
10,0.7,28.0,92,0.056,0.2075,0.0088,95.8,0.0001,3.4,0.96,
10,1.0,40.0,131,0.039,0.2191,0.0078,96.4,0.0001,2.8,0.92,
10,1.2,48.0,157,0.033,0.1849,0.0077,95.8,0.0001,2.4,0.96,
20,0.3,12.0,39,0.131,0.6476,0.1978,69.5,0.0001,8.7,0.8,
20,0.4,16.0,52,0.098,0.3012,0.0371,87.7,0.0001,5.8,1.11,
20,0.5,20.0,66,0.079,0.3373,0.0401,88.1,0.0001,6.4,1.18,
20,0.7,28.0,92,0.056,0.3561,0.0275,92.3,0.0001,5.1,0.91,
20,1.0,40.0,131,0.039,0.4629,0.088,81.0,0.0003,10.1,1.37,
20,1.2,48.0,157,0.033,0.4484,0.1653,63.1,0.001,6.8,1.24,
30,0.3,12.0,39,0.131,0.8,0.5022,37.2,0.0001,9.2,0.91,
30,0.4,16.0,52,0.098,0.46,0.0889,80.7,0.0001,8.0,1.03,
30,0.5,20.0,66,0.079,0.4959,0.0884,82.2,0.0001,11.1,1.12,
30,0.7,28.0,92,0.056,0.5791,0.0544,90.6,0.0001,7.2,0.78,
30,1.0,40.0,131,0.039,0.5746,0.2058,64.2,0.001,8.5,1.2,
30,1.2,48.0,157,0.033,0.4981,0.2945,40.9,0.001,10.8,1.47,
