sim,d_s,field,region,time_window,nrmse,n_nodes,n_times,rmse,denom,denom_type
sim_A_025,1,vx,all,all,1.524030e-01,11075,150,2.278124e+01,1.494803e+02,global_range_vx
sim_A_025,1,vx,all,excitation,1.531788e-01,11075,44,2.289721e+01,1.494803e+02,global_range_vx
sim_A_025,1,vx,all,peak,1.531952e-01,11075,28,2.289966e+01,1.494803e+02,global_range_vx
sim_A_025,1,vx,all,decay,1.521654e-01,11075,55,2.274573e+01,1.494803e+02,global_range_vx
sim_A_025,1,vx,all,quiescent,1.519874e-01,11075,51,2.271912e+01,1.494803e+02,global_range_vx
sim_A_025,1,vx,near,all,1.948109e-01,6283,150,2.912039e+01,1.494803e+02,global_range_vx
sim_A_025,1,vx,near,excitation,1.957445e-01,6283,44,2.925995e+01,1.494803e+02,global_range_vx
sim_A_025,1,vx,near,peak,1.957494e-01,6283,28,2.926068e+01,1.494803e+02,global_range_vx
sim_A_025,1,vx,near,decay,1.945271e-01,6283,55,2.907797e+01,1.494803e+02,global_range_vx
sim_A_025,1,vx,near,quiescent,1.943087e-01,6283,51,2.904533e+01,1.494803e+02,global_range_vx
sim_A_025,1,vx,wake,all,1.014304e-02,2234,150,1.516185e+00,1.494803e+02,global_range_vx
sim_A_025,1,vx,wake,excitation,1.063434e-02,2234,44,1.589625e+00,1.494803e+02,global_range_vx
sim_A_025,1,vx,wake,peak,1.052087e-02,2234,28,1.572663e+00,1.494803e+02,global_range_vx
sim_A_025,1,vx,wake,decay,1.000663e-02,2234,55,1.495793e+00,1.494803e+02,global_range_vx
sim_A_025,1,vx,wake,quiescent,9.850822e-03,2234,51,1.472504e+00,1.494803e+02,global_range_vx
sim_A_025,1,vx,far,all,8.517472e-02,2558,150,1.273194e+01,1.494803e+02,global_range_vx
sim_A_025,1,vx,far,excitation,8.588738e-02,2558,44,1.283847e+01,1.494803e+02,global_range_vx
sim_A_025,1,vx,far,peak,8.599841e-02,2558,28,1.285507e+01,1.494803e+02,global_range_vx
sim_A_025,1,vx,far,decay,8.494296e-02,2558,55,1.269730e+01,1.494803e+02,global_range_vx
sim_A_025,1,vx,far,quiescent,8.480610e-02,2558,51,1.267684e+01,1.494803e+02,global_range_vx
sim_A_025,1,vx,surface,all,4.255453e-02,387,150,6.361063e+00,1.494803e+02,global_range_vx
sim_A_025,1,vx,surface,excitation,4.552503e-02,387,44,6.805095e+00,1.494803e+02,global_range_vx
sim_A_025,1,vx,surface,peak,4.603327e-02,387,28,6.881067e+00,1.494803e+02,global_range_vx
sim_A_025,1,vx,surface,decay,4.157316e-02,387,55,6.214368e+00,1.494803e+02,global_range_vx
sim_A_025,1,vx,surface,quiescent,4.091691e-02,387,51,6.116272e+00,1.494803e+02,global_range_vx
sim_A_025,1,vy,all,all,3.185620e-02,11075,150,4.439667e+00,1.393659e+02,global_range_vy
sim_A_025,1,vy,all,excitation,3.363898e-02,11075,44,4.688126e+00,1.393659e+02,global_range_vy
sim_A_025,1,vy,all,peak,3.364911e-02,11075,28,4.689537e+00,1.393659e+02,global_range_vy
sim_A_025,1,vy,all,decay,3.131047e-02,11075,55,4.363611e+00,1.393659e+02,global_range_vy
sim_A_025,1,vy,all,quiescent,3.084243e-02,11075,51,4.298383e+00,1.393659e+02,global_range_vy
sim_A_025,1,vy,near,all,4.175576e-02,6283,150,5.819328e+00,1.393659e+02,global_range_vy
sim_A_025,1,vy,near,excitation,4.391134e-02,6283,44,6.119742e+00,1.393659e+02,global_range_vy
sim_A_025,1,vy,near,peak,4.393378e-02,6283,28,6.122870e+00,1.393659e+02,global_range_vy
sim_A_025,1,vy,near,decay,4.111164e-02,6283,55,5.729559e+00,1.393659e+02,global_range_vy
sim_A_025,1,vy,near,quiescent,4.051902e-02,6283,51,5.646969e+00,1.393659e+02,global_range_vy
sim_A_025,1,vy,wake,all,5.505247e-03,2234,150,7.672435e-01,1.393659e+02,global_range_vy
sim_A_025,1,vy,wake,excitation,6.868966e-03,2234,44,9.572994e-01,1.393659e+02,global_range_vy
sim_A_025,1,vy,wake,peak,6.486472e-03,2234,28,9.039928e-01,1.393659e+02,global_range_vy
sim_A_025,1,vy,wake,decay,5.029854e-03,2234,55,7.009900e-01,1.393659e+02,global_range_vy
sim_A_025,1,vy,wake,quiescent,4.598921e-03,2234,51,6.409327e-01,1.393659e+02,global_range_vy
sim_A_025,1,vy,far,all,9.204285e-03,2558,150,1.282763e+00,1.393659e+02,global_range_vy
sim_A_025,1,vy,far,excitation,1.104299e-02,2558,44,1.539016e+00,1.393659e+02,global_range_vy
sim_A_025,1,vy,far,peak,1.115864e-02,2558,28,1.555134e+00,1.393659e+02,global_range_vy
sim_A_025,1,vy,far,decay,8.423151e-03,2558,55,1.173900e+00,1.393659e+02,global_range_vy
sim_A_025,1,vy,far,quiescent,8.212751e-03,2558,51,1.144577e+00,1.393659e+02,global_range_vy
sim_A_025,1,vy,surface,all,2.691961e-02,387,150,3.751674e+00,1.393659e+02,global_range_vy
sim_A_025,1,vy,surface,excitation,2.749002e-02,387,44,3.831171e+00,1.393659e+02,global_range_vy
sim_A_025,1,vy,surface,peak,2.746895e-02,387,28,3.828235e+00,1.393659e+02,global_range_vy
sim_A_025,1,vy,surface,decay,2.669499e-02,387,55,3.720370e+00,1.393659e+02,global_range_vy
sim_A_025,1,vy,surface,quiescent,2.666226e-02,387,51,3.715810e+00,1.393659e+02,global_range_vy
sim_A_025,1,p,all,all,4.146023e-02,11075,150,4.397170e+02,1.060575e+04,global_range_p
sim_A_025,1,p,all,excitation,4.497995e-02,11075,44,4.770462e+02,1.060575e+04,global_range_p
sim_A_025,1,p,all,peak,4.516323e-02,11075,28,4.789902e+02,1.060575e+04,global_range_p
sim_A_025,1,p,all,decay,4.035103e-02,11075,55,4.279531e+02,1.060575e+04,global_range_p
sim_A_025,1,p,all,quiescent,3.942496e-02,11075,51,4.181315e+02,1.060575e+04,global_range_p
sim_A_025,1,p,near,all,5.466293e-02,6283,150,5.797416e+02,1.060575e+04,global_range_p
