sim,field,region,arm,nrmse_mean,nrmse_std,vs_base_x,static_share,dyn_nrmse_fluctrange,n_seeds
sim_A_025,vx,all,base,1.5200e-01,1.1109e-03,1.0000e+00,9.9850e-01,2.5400e-02,5
sim_A_025,vx,all,ms,6.4070e-03,4.9768e-04,2.3724e+01,4.0374e-01,2.1382e-02,5
sim_A_025,vx,all,ms_t0,5.8150e-03,6.9855e-04,2.6138e+01,2.4686e-01,2.1852e-02,5
sim_A_025,vx,all,ms_tik,6.8371e-03,8.7355e-04,2.2231e+01,3.7253e-01,2.3438e-02,5
sim_A_025,vx,all,ms_tik_d10,8.1564e-03,7.2653e-05,1.8635e+01,3.3389e-01,2.8767e-02,5
sim_A_025,vx,all,ms_wall,6.0913e-03,8.9574e-04,2.4953e+01,3.9930e-01,2.0429e-02,5
sim_A_025,vx,near,base,1.9426e-01,1.5407e-03,1.0000e+00,9.9856e-01,3.1805e-02,5
sim_A_025,vx,near,ms,8.1533e-03,6.2878e-04,2.3826e+01,3.9342e-01,2.7430e-02,5
sim_A_025,vx,near,ms_t0,7.3027e-03,7.2026e-04,2.6601e+01,2.2117e-01,2.7879e-02,5
sim_A_025,vx,near,ms_tik,8.7689e-03,1.1184e-03,2.2153e+01,3.6812e-01,3.0159e-02,5
sim_A_025,vx,near,ms_tik_d10,1.0514e-02,9.5131e-05,1.8476e+01,3.3757e-01,3.6981e-02,5
sim_A_025,vx,near,ms_wall,7.8022e-03,1.1520e-03,2.4898e+01,3.9994e-01,2.6153e-02,5
sim_A_025,vx,wake,base,9.0598e-03,5.3736e-04,1.0000e+00,9.3185e-01,1.0004e-02,5
sim_A_025,vx,wake,ms,2.7939e-03,2.3582e-04,3.2427e+00,5.0756e-01,8.4239e-03,5
sim_A_025,vx,wake,ms_t0,2.5814e-03,5.7492e-04,3.5096e+00,4.9058e-01,7.7803e-03,5
sim_A_025,vx,wake,ms_tik,2.4415e-03,1.9901e-04,3.7107e+00,4.1982e-01,7.9990e-03,5
sim_A_025,vx,wake,ms_tik_d10,2.6738e-03,1.2528e-04,3.3884e+00,2.5705e-01,9.9671e-03,5
sim_A_025,vx,wake,ms_wall,2.3380e-03,2.9648e-04,3.8749e+00,3.7230e-01,7.9850e-03,5
sim_A_025,vx,far,base,8.5239e-02,1.4072e-04,1.0000e+00,9.9837e-01,1.4584e-02,5
sim_A_025,vx,far,ms,2.7466e-03,3.7111e-04,3.1034e+01,5.1923e-01,8.1590e-03,5
sim_A_025,vx,far,ms_t0,2.9806e-03,1.1231e-03,2.8598e+01,4.9954e-01,9.4329e-03,5
sim_A_025,vx,far,ms_tik,2.8499e-03,6.2397e-04,2.9909e+01,4.4787e-01,9.2136e-03,5
sim_A_025,vx,far,ms_tik_d10,3.1957e-03,1.7895e-04,2.6673e+01,2.7662e-01,1.1668e-02,5
sim_A_025,vx,far,ms_wall,2.4948e-03,5.1326e-04,3.4166e+01,4.1009e-01,8.3154e-03,5
sim_A_025,vx,surface,base,4.1976e-02,4.2261e-03,1.0000e+00,9.6247e-01,3.4330e-02,5
sim_A_025,vx,surface,ms,1.1250e-02,5.1646e-04,3.7313e+00,3.7400e-01,3.8408e-02,5
sim_A_025,vx,surface,ms_t0,9.9797e-03,3.4239e-04,4.2062e+00,1.7966e-01,3.9037e-02,5
sim_A_025,vx,surface,ms_tik,1.1363e-02,3.0831e-04,3.6943e+00,3.9653e-01,3.8060e-02,5
sim_A_025,vx,surface,ms_tik_d10,1.1669e-02,1.7169e-04,3.5973e+00,4.7833e-01,3.6423e-02,5
sim_A_025,vx,surface,ms_wall,9.9163e-03,1.4535e-03,4.2331e+00,4.5442e-01,3.1741e-02,5
sim_A_025,vy,all,base,3.3616e-02,2.4004e-03,1.0000e+00,9.7444e-01,1.6302e-02,5
sim_A_025,vy,all,ms,5.4818e-03,6.7394e-04,6.1324e+00,3.2086e-01,1.3845e-02,5
sim_A_025,vy,all,ms_t0,5.3102e-03,9.6992e-04,6.3306e+00,2.4972e-01,1.4104e-02,5
sim_A_025,vy,all,ms_tik,5.8514e-03,8.6847e-04,5.7451e+00,2.8116e-01,1.5231e-02,5
sim_A_025,vy,all,ms_tik_d10,7.1509e-03,8.4238e-05,4.7010e+00,1.7257e-01,1.9877e-02,5
sim_A_025,vy,all,ms_wall,5.3457e-03,7.7124e-04,6.2886e+00,3.2893e-01,1.3459e-02,5
sim_A_025,vy,near,base,4.3994e-02,3.2275e-03,1.0000e+00,9.8402e-01,1.6912e-02,5
