set,arch,d_s,test_NRMSE,NRMSE_vx,NRMSE_vy,NRMSE_p
N15,L6,1,0.013871453430663592,0.10980012373250068,0.022588555474069103,0.02400194276693507
N15,L6,5,0.016431159400719292,0.11889378342937937,0.02887807818614472,0.028435316349692315
N15,L6,10,0.015848523566016365,0.12020988028386709,0.030301049638524202,0.027424587413345164
N30,L6,1,0.013893732899220957,0.10863219797400112,0.022773606936513327,0.024041040574291166
N30,L6,3,0.016277579000186504,0.11503760935494653,0.030354663742313416,0.02817039354527458
N30,L6,5,0.015856307602447394,0.11485100042665262,0.0310886953501266,0.027440102837815686
N30,L6,10,0.016113441367784764,0.1175330834290203,0.03037489938000525,0.027884904215971174
N30,L6,20,0.02199121341160085,0.13450915099302138,0.046478296936387574,0.038065241438290064
N60,L6,1,0.0133414935308303,0.10995567119640773,0.021932291014568474,0.02308306142428385
N60,L6,3,0.01330572248024785,0.10971297801861216,0.023024656710932175,0.02302103640424014
N60,L6,5,0.0139190206537558,0.1110861290753227,0.027097307672011177,0.024083407631878974
N60,L6,10,0.016003749586512114,0.12051382473674341,0.025725385839839562,0.027694039043213506
N60,L6,20,0.0219711952151789,0.13443214428292805,0.046444541222635104,0.038030575556764624
N100,L6,1,0.06652528794386899,1.0808781709164295,0.278949264818814,0.11472467591759822
N100,L6,3,0.054988369510774675,0.4665545146074887,0.14068460550095793,0.09512723045813763
N100,L6,5,0.2524569648971451,0.4417451457704739,0.45646046933180295,0.43722398194490036
N100,L6,10,0.19828511189061676,2.0543755074117773,0.10269377193578998,0.3428734925472816
N100,L6,20,0.24960687139125448,2.5981968257586705,0.5148937853999989,0.4315833591598912
N15,L12,1,0.0239129806002275,0.15137259739650488,0.03833498633998195,0.04136044494220257
N15,L12,10,0.025627809013225127,0.15816372334979312,0.042058334732362236,0.044329211598266055
N60,L12,1,0.012697430365139822,0.10383422008941899,0.02080351514477597,0.02196908331245688
N60,L12,10,0.015221588344940841,0.11563702414716723,0.02818263010121571,0.02633975320858696
N100,L12,1,0.04198474432930562,0.3894414160167385,0.050453758349113566,0.07262210883720499
