depth_L,seed,d_s,NRMSE_Fy,NRMSE_Mz,NRMSE_combined
6,0,1,0.007075321028898789,0.003149161868424313,0.0036642072426761496
6,100,1,0.007087596541248394,0.0037826348221550094,0.00368034246585606
12,0,1,0.005639199689136023,0.002688443681431805,0.002923080189373427
12,100,1,0.005933732448713334,0.002116877522608579,0.0030662928414319263
24,0,1,0.01819668659985164,0.013665590043070872,0.0095292616776815
24,100,1,0.009972382745926253,0.0054507075131150695,0.005180515859545464
6,0,10,0.0025870322827312724,0.00169804267810958,0.0013493421746959974
6,100,10,0.011782993236958705,0.008876223960161432,0.006171177655470278
12,0,10,0.0018138715536526607,0.0013283972033090179,0.0009491000506250216
12,100,10,0.0016952250773856876,0.0015502247541557164,0.0008949979935720071
24,0,10,0.04240609563933389,0.03257316655701694,0.022224649801173613
24,100,10,0.01767896852189573,0.009496877230272744,0.00918112243526314
