depth_L,seed,d_s,NRMSE_Fy,NRMSE_Mz,NRMSE_combined
6,0,1,0.0073268875772940735,0.002390843480222285,0.0037837815062591123
6,100,1,0.007875937821461084,0.002446483809091222,0.004066067397112798
12,0,1,0.005087891276518089,0.001891982365799801,0.002630093014830168
12,100,1,0.03259157374668837,0.018816255082845828,0.016948754182529422
24,0,1,0.0064347830449951625,0.003707238622281034,0.003346168966536714
24,100,1,0.004538630124399343,0.008387374344746188,0.0025725650565950353
6,0,10,0.11287546487504815,0.08031611373737993,0.059008084666196815
6,100,10,0.1148131575965131,0.08116339419161288,0.060009158352762465
12,0,10,0.09995338209347662,0.0802733399594451,0.05247106456412046
12,100,10,0.10863251787206465,0.07853648750483944,0.056818040826591566
