sim,d_s,kind,name,share,weight_frac
sim_A_025,1,field,vx,0.002677,0.333333
sim_A_025,1,field,vy,0.000102,0.333333
sim_A_025,1,field,p,0.997222,0.333333
sim_A_025,1,region,near,0.985997,0.567314
sim_A_025,1,region,wake,0.002818,0.201716
sim_A_025,1,region,far,0.011185,0.230971
sim_A_025,1,field_in_near,vx,0.002516,0.333333
sim_A_025,1,field_in_near,vy,0.000100,0.333333
sim_A_025,1,field_in_near,p,0.997383,0.333333
sim_A_025,5,field,vx,0.002481,0.333333
sim_A_025,5,field,vy,0.000125,0.333333
sim_A_025,5,field,p,0.997394,0.333333
sim_A_025,5,region,near,0.939884,0.567314
sim_A_025,5,region,wake,0.011706,0.201716
sim_A_025,5,region,far,0.048410,0.230971
sim_A_025,5,field_in_near,vx,0.002326,0.333333
sim_A_025,5,field_in_near,vy,0.000118,0.333333
sim_A_025,5,field_in_near,p,0.997556,0.333333
sim_A_025,10,field,vx,0.002630,0.333333
sim_A_025,10,field,vy,0.000153,0.333333
sim_A_025,10,field,p,0.997217,0.333333
sim_A_025,10,region,near,0.973183,0.567314
sim_A_025,10,region,wake,0.005994,0.201716
sim_A_025,10,region,far,0.020823,0.230971
sim_A_025,10,field_in_near,vx,0.002387,0.333333
sim_A_025,10,field_in_near,vy,0.000152,0.333333
sim_A_025,10,field_in_near,p,0.997462,0.333333
sim_Cc_060,1,field,vx,0.001918,0.333333
sim_Cc_060,1,field,vy,0.000088,0.333333
sim_Cc_060,1,field,p,0.997993,0.333333
sim_Cc_060,1,region,near,0.891783,0.567314
sim_Cc_060,1,region,wake,0.049410,0.201716
sim_Cc_060,1,region,far,0.058806,0.230971
sim_Cc_060,1,field_in_near,vx,0.001992,0.333333
sim_Cc_060,1,field_in_near,vy,0.000089,0.333333
sim_Cc_060,1,field_in_near,p,0.997920,0.333333
sim_Cc_060,5,field,vx,0.001603,0.333333
sim_Cc_060,5,field,vy,0.000103,0.333333
sim_Cc_060,5,field,p,0.998294,0.333333
sim_Cc_060,5,region,near,0.889150,0.567314
sim_Cc_060,5,region,wake,0.041000,0.201716
sim_Cc_060,5,region,far,0.069849,0.230971
sim_Cc_060,5,field_in_near,vx,0.001590,0.333333
sim_Cc_060,5,field_in_near,vy,0.000093,0.333333
sim_Cc_060,5,field_in_near,p,0.998317,0.333333
sim_Cc_060,10,field,vx,0.001762,0.333333
sim_Cc_060,10,field,vy,0.000122,0.333333
sim_Cc_060,10,field,p,0.998117,0.333333
sim_Cc_060,10,region,near,0.903638,0.567314
sim_Cc_060,10,region,wake,0.040134,0.201716
sim_Cc_060,10,region,far,0.056228,0.230971
sim_Cc_060,10,field_in_near,vx,0.001723,0.333333
sim_Cc_060,10,field_in_near,vy,0.000118,0.333333
sim_Cc_060,10,field_in_near,p,0.998159,0.333333
