sim,d_s,field,region,component,rmse,nrmse_fullrange,nrmse_fluctrange,rel_to_fluct_rms,n_nodes
sim_A_025,1,vx,all,static,2.276130e+01,1.522696e-01,6.580142e-01,2.247975e+01,11075
sim_A_025,1,vx,all,dynamic,9.530237e-01,6.375581e-03,2.755129e-02,9.412352e-01,11075
sim_A_025,1,vx,near,static,2.909559e+01,1.946450e-01,8.411344e-01,2.239814e+01,6283
sim_A_025,1,vx,near,dynamic,1.201542e+00,8.038127e-03,3.473577e-02,9.249614e-01,6283
sim_A_025,1,vx,wake,static,1.468832e+00,9.826259e-03,4.246297e-02,5.132354e+00,2234
sim_A_025,1,vx,wake,dynamic,3.759626e-01,2.515132e-03,1.086883e-02,1.313679e+00,2234
sim_A_025,1,vx,far,static,1.272162e+01,8.510564e-02,3.677735e-01,2.697479e+01,2558
sim_A_025,1,vx,far,dynamic,5.126862e-01,3.429791e-03,1.482142e-02,1.087095e+00,2558
sim_A_025,1,vx,surface,static,6.220958e+00,4.161724e-02,1.798438e-01,5.002638e+00,387
sim_A_025,1,vx,surface,dynamic,1.327708e+00,8.882163e-03,3.838317e-02,1.067688e+00,387
sim_A_025,1,vy,all,static,4.392501e+00,3.151777e-02,9.631018e-02,3.887801e+00,11075
sim_A_025,1,vy,all,dynamic,6.454260e-01,4.631163e-03,1.415164e-02,5.712663e-01,11075
sim_A_025,1,vy,near,static,5.774952e+00,4.143735e-02,1.266218e-01,4.754821e+00,6283
sim_A_025,1,vy,near,dynamic,7.172941e-01,5.146842e-03,1.572742e-02,5.905859e-01,6283
sim_A_025,1,vy,wake,static,6.003180e-01,4.307496e-03,1.316260e-02,7.596131e-01,2234
sim_A_025,1,vy,wake,dynamic,4.777875e-01,3.428296e-03,1.047599e-02,6.045690e-01,2234
sim_A_025,1,vy,far,static,1.142372e+00,8.196931e-03,2.504771e-02,9.803218e-01,2558
sim_A_025,1,vy,far,dynamic,5.834953e-01,4.186787e-03,1.279374e-02,5.007238e-01,2558
sim_A_025,1,vy,surface,static,3.697753e+00,2.653270e-02,8.107709e-02,2.563055e+00,387
sim_A_025,1,vy,surface,dynamic,6.337855e-01,4.547638e-03,1.389641e-02,4.393012e-01,387
sim_A_025,1,p,all,static,4.339581e+02,4.091723e-02,8.450386e-02,3.445000e+00,11075
sim_A_025,1,p,all,dynamic,7.093252e+01,6.688116e-03,1.381256e-02,5.631017e-01,11075
sim_A_025,1,p,near,static,5.728586e+02,5.401395e-02,1.115517e-01,3.501985e+00,6283
sim_A_025,1,p,near,dynamic,8.906918e+01,8.398194e-03,1.734428e-02,5.444955e-01,6283
sim_A_025,1,p,wake,static,3.855440e+01,3.635234e-03,7.507628e-03,1.100668e+00,2234
sim_A_025,1,p,wake,dynamic,3.492133e+01,3.292678e-03,6.800167e-03,9.969493e-01,2234
sim_A_025,1,p,far,static,8.940332e+01,8.429699e-03,1.740934e-02,2.049091e+00,2558
sim_A_025,1,p,far,dynamic,3.511175e+01,3.310632e-03,6.837247e-03,8.047484e-01,2558
sim_A_025,1,p,surface,static,3.065982e+02,2.890866e-02,5.970330e-02,1.253174e+00,387
sim_A_025,1,p,surface,dynamic,1.154401e+02,1.088467e-02,2.247944e-02,4.718441e-01,387
sim_A_025,5,vx,all,static,2.459570e+01,1.645414e-01,7.110455e-01,2.429147e+01,11075
sim_A_025,5,vx,all,dynamic,1.130388e+00,7.562122e-03,3.267878e-02,1.116406e+00,11075
sim_A_025,5,vx,near,static,3.065368e+01,2.050684e-01,8.861777e-01,2.359758e+01,6283
