t,W_gust,delta,l1_vx,l1_vy,l1_p,l1_vx_near,l1_p_surf,l1_combined,l5_vx,l5_vy,l5_p,l5_vx_near,l5_p_surf,l5_combined,l10_vx,l10_vy,l10_p,l10_vx_near,l10_p_surf,l10_combined
0.000000e+00,2.000000e-06,0.000000e+00,1.519894e-01,3.084647e-02,3.946771e-02,1.943108e-01,2.881227e-02,2.282143e-02,1.660041e-01,4.458777e-02,4.414451e-02,2.074616e-01,3.537863e-02,2.552486e-02,1.668313e-01,4.199517e-02,4.349833e-02,2.083184e-01,3.928240e-02,2.515246e-02
2.013275e-02,3.698055e-02,0.000000e+00,1.519866e-01,3.084170e-02,3.942540e-02,1.943073e-01,2.881640e-02,2.279704e-02,1.644829e-01,3.787700e-02,4.334096e-02,2.047051e-01,3.263257e-02,2.506033e-02,1.660018e-01,4.173102e-02,4.282390e-02,2.071220e-01,3.772399e-02,2.476329e-02
4.026550e-02,1.464268e-01,0.000000e+00,1.519858e-01,3.083642e-02,3.941212e-02,1.943063e-01,2.880191e-02,2.278939e-02,1.642819e-01,3.793852e-02,4.336516e-02,2.047471e-01,3.267943e-02,2.507420e-02,1.659021e-01,4.165142e-02,4.295245e-02,2.070097e-01,3.876846e-02,2.483734e-02
6.039825e-02,3.269499e-01,0.000000e+00,1.519840e-01,3.082268e-02,3.937615e-02,1.943034e-01,2.877782e-02,2.276865e-02,1.642258e-01,3.790633e-02,4.336630e-02,2.046829e-01,3.246827e-02,2.507483e-02,1.659082e-01,4.164896e-02,4.281109e-02,2.070190e-01,3.824066e-02,2.475585e-02
8.053101e-02,5.762519e-01,0.000000e+00,1.519791e-01,3.079264e-02,3.929860e-02,1.942953e-01,2.874556e-02,2.272394e-02,1.642233e-01,3.784813e-02,4.326096e-02,2.046813e-01,3.248780e-02,2.501410e-02,1.658991e-01,4.161282e-02,4.278000e-02,2.070049e-01,3.853411e-02,2.473793e-02
1.006638e-01,8.911597e-01,0.000000e+00,1.519679e-01,3.073852e-02,3.916386e-02,1.942792e-01,2.871452e-02,2.264626e-02,1.642059e-01,3.778631e-02,4.317367e-02,2.046607e-01,3.232638e-02,2.496377e-02,1.658907e-01,4.156629e-02,4.264111e-02,2.069924e-01,3.858901e-02,2.465785e-02
1.207965e-01,1.267662e+00,0.000000e+00,1.519508e-01,3.065421e-02,3.894765e-02,1.942530e-01,2.871054e-02,2.252161e-02,1.641884e-01,3.769020e-02,4.296369e-02,2.046359e-01,3.227523e-02,2.484270e-02,1.658741e-01,4.149008e-02,4.246719e-02,2.069662e-01,3.894832e-02,2.455759e-02
1.409293e-01,1.700969e+00,0.000000e+00,1.519230e-01,3.054715e-02,3.866158e-02,1.942125e-01,2.877007e-02,2.235668e-02,1.641618e-01,3.759947e-02,4.275253e-02,2.046021e-01,3.221434e-02,2.472095e-02,1.658487e-01,4.139785e-02,4.222729e-02,2.069295e-01,3.939909e-02,2.441928e-02
1.610620e-01,2.185564e+00,0.000000e+00,1.518891e-01,3.044569e-02,3.837240e-02,1.941644e-01,2.888478e-02,2.218997e-02,1.641246e-01,3.753065e-02,4.251551e-02,2.045551e-01,3.235772e-02,2.458429e-02,1.658158e-01,4.131581e-02,4.200409e-02,2.068845e-01,3.997862e-02,2.429060e-02
1.811948e-01,2.715278e+00,0.000000e+00,1.518590e-01,3.036400e-02,3.811636e-02,1.941210e-01,2.902223e-02,2.204236e-02,1.640933e-01,3.749931e-02,4.235260e-02,2.045152e-01,3.254596e-02,2.449037e-02,1.657875e-01,4.125395e-02,4.181206e-02,2.068459e-01,4.052669e-02,2.417990e-02
2.013275e-01,3.283367e+00,0.000000e+00,1.518324e-01,3.030409e-02,3.790921e-02,1.940821e-01,2.915294e-02,2.192294e-02,1.640628e-01,3.749021e-02,4.220857e-02,2.044759e-01,3.282033e-02,2.440733e-02,1.657611e-01,4.121220e-02,4.166533e-02,2.068113e-01,4.101432e-02,2.409530e-02
2.214603e-01,3.882601e+00,0.000000e+00,1.518097e-01,3.026684e-02,3.775838e-02,1.940490e-01,2.924965e-02,2.183599e-02,1.640370e-01,3.750373e-02,4.212658e-02,2.044428e-01,3.302916e-02,2.436005e-02,1.657390e-01,4.118722e-02,4.155985e-02,2.067814e-01,4.137408e-02,2.403450e-02
2.415930e-01,4.505351e+00,0.000000e+00,1.517934e-01,3.025374e-02,3.766645e-02,1.940234e-01,2.930644e-02,2.178299e-02,1.640174e-01,3.753319e-02,4.206591e-02,2.044161e-01,3.320216e-02,2.432507e-02,1.657210e-01,4.117730e-02,4.149845e-02,2.067571e-01,4.161281e-02,2.399909e-02
2.617258e-01,5.143689e+00,0.000000e+00,1.517809e-01,3.026433e-02,3.764047e-02,1.940022e-01,2.931264e-02,2.176802e-02,1.640019e-01,3.757537e-02,4.205277e-02,2.043936e-01,3.324476e-02,2.431750e-02,1.657051e-01,4.117931e-02,4.148191e-02,2.067342e-01,4.169196e-02,2.398955e-02
2.818585e-01,5.789490e+00,0.000000e+00,1.517773e-01,3.029933e-02,3.767920e-02,1.939922e-01,2.927596e-02,2.179034e-02,1.639952e-01,3.762650e-02,4.206580e-02,2.043809e-01,3.319005e-02,2.432501e-02,1.656955e-01,4.119124e-02,4.150901e-02,2.067189e-01,4.161769e-02,2.400517e-02
