t,W_gust,delta,l1_vx,l1_vy,l1_p,l1_vx_near,l1_p_surf,l1_combined,l5_vx,l5_vy,l5_p,l5_vx_near,l5_p_surf,l5_combined,l10_vx,l10_vy,l10_p,l10_vx_near,l10_p_surf,l10_combined
0.000000e+00,1.600000e-05,0.000000e+00,1.082118e-01,1.963035e-02,1.910789e-02,1.383434e-01,1.394917e-02,1.104877e-02,1.181899e-01,2.837517e-02,2.137212e-02,1.477063e-01,1.712820e-02,1.235761e-02,1.187788e-01,2.672527e-02,2.105927e-02,1.483164e-01,1.901816e-02,1.217731e-02
2.013275e-02,3.372734e-01,0.000000e+00,1.082105e-01,1.962667e-02,1.908706e-02,1.383413e-01,1.392672e-02,1.103675e-02,1.171096e-01,2.410151e-02,2.097420e-02,1.457445e-01,1.578785e-02,1.212758e-02,1.181811e-01,2.655591e-02,2.071948e-02,1.474530e-01,1.823751e-02,1.198124e-02
4.026550e-02,1.327821e+00,0.000000e+00,1.082154e-01,1.961539e-02,1.905893e-02,1.383459e-01,1.389352e-02,1.102054e-02,1.169700e-01,2.412030e-02,2.093793e-02,1.457808e-01,1.576726e-02,1.210664e-02,1.181131e-01,2.647920e-02,2.072553e-02,1.473783e-01,1.873987e-02,1.198470e-02
6.039825e-02,2.936573e+00,0.000000e+00,1.082163e-01,1.955184e-02,1.892856e-02,1.383417e-01,1.381194e-02,1.094538e-02,1.169102e-01,2.403460e-02,2.081074e-02,1.457053e-01,1.555965e-02,1.203329e-02,1.181156e-01,2.641812e-02,2.053105e-02,1.473786e-01,1.862863e-02,1.187259e-02
8.053101e-02,5.106522e+00,-2.954002e-02,1.082040e-01,1.938453e-02,1.860260e-02,1.383137e-01,1.362005e-02,1.075747e-02,1.168898e-01,2.386314e-02,2.051661e-02,1.456755e-01,1.560043e-02,1.186371e-02,1.180886e-01,2.627192e-02,2.027702e-02,1.473336e-01,1.919778e-02,1.172615e-02
1.006638e-01,7.760780e+00,-1.702519e-01,1.081716e-01,1.909600e-02,1.800191e-02,1.382528e-01,1.350278e-02,1.041121e-02,1.168189e-01,2.368885e-02,2.017395e-02,1.455774e-01,1.620351e-02,1.166616e-02,1.180564e-01,2.607006e-02,1.986622e-02,1.472778e-01,2.033978e-02,1.148934e-02
1.207965e-01,1.080527e+01,-4.221027e-01,1.081313e-01,1.881308e-02,1.717626e-02,1.381704e-01,1.423586e-02,9.935347e-03,1.167742e-01,2.372468e-02,1.997253e-02,1.455180e-01,1.914371e-02,1.155005e-02,1.180291e-01,2.602583e-02,1.961762e-02,1.472248e-01,2.335678e-02,1.134605e-02
1.409293e-01,1.413211e+01,-7.761696e-01,1.081138e-01,1.874898e-02,1.639233e-02,1.381056e-01,1.644614e-02,9.483622e-03,1.167532e-01,2.448155e-02,2.057528e-02,1.454988e-01,2.498495e-02,1.189754e-02,1.180744e-01,2.644989e-02,1.997420e-02,1.472716e-01,2.846118e-02,1.155161e-02
1.610620e-01,1.762342e+01,-1.219905e+00,1.081928e-01,1.896780e-02,1.594253e-02,1.381645e-01,1.911659e-02,9.224520e-03,1.168366e-01,2.588598e-02,2.191458e-02,1.456350e-01,3.193563e-02,1.266977e-02,1.182046e-01,2.739185e-02,2.109967e-02,1.474433e-01,3.430318e-02,1.220047e-02
1.811948e-01,2.115547e+01,-1.737586e+00,1.084181e-01,1.934547e-02,1.583809e-02,1.384305e-01,2.130891e-02,9.164466e-03,1.169608e-01,2.752638e-02,2.367563e-02,1.458416e-01,3.816230e-02,1.368536e-02,1.183986e-01,2.851711e-02,2.259826e-02,1.477265e-01,3.950703e-02,1.306459e-02
2.013275e-01,2.460309e+01,-2.310866e+00,1.088258e-01,1.971120e-02,1.598836e-02,1.389548e-01,2.256441e-02,9.251203e-03,1.171181e-01,2.885758e-02,2.526104e-02,1.461015e-01,4.286890e-02,1.459981e-02,1.185847e-01,2.941259e-02,2.408338e-02,1.480139e-01,4.347687e-02,1.392105e-02
2.214603e-01,2.784411e+01,-2.919431e+00,1.093342e-01,1.999737e-02,1.637239e-02,1.396263e-01,2.284264e-02,9.472646e-03,1.171863e-01,2.961443e-02,2.652659e-02,1.462363e-01,4.568082e-02,1.532981e-02,1.186721e-01,2.978398e-02,2.532313e-02,1.481716e-01,4.591964e-02,1.463607e-02
2.415930e-01,3.076368e+01,-3.541714e+00,1.097079e-01,2.017249e-02,1.707063e-02,1.401312e-01,2.231692e-02,9.875097e-03,1.171559e-01,2.960615e-02,2.733483e-02,1.462239e-01,4.644836e-02,1.579601e-02,1.186191e-01,2.948199e-02,2.627611e-02,1.481277e-01,4.675056e-02,1.518566e-02
2.617258e-01,3.325834e+01,-4.155662e+00,1.097797e-01,2.022508e-02,1.823513e-02,1.402387e-01,2.116936e-02,1.054621e-02,1.169970e-01,2.884615e-02,2.787956e-02,1.460163e-01,4.524735e-02,1.611015e-02,1.184232e-01,2.848033e-02,2.705623e-02,1.478805e-01,4.601404e-02,1.563552e-02
2.818585e-01,3.523968e+01,-4.739522e+00,1.096204e-01,2.017706e-02,2.004365e-02,1.400363e-01,1.978894e-02,1.158868e-02,1.167777e-01,2.744692e-02,2.841190e-02,1.457047e-01,4.242453e-02,1.641711e-02,1.181467e-01,2.692274e-02,2.791179e-02,1.475034e-01,4.395231e-02,1.612888e-02
3.019913e-01,3.663750e+01,-5.272601e+00,1.094961e-01,2.017643e-02,2.259653e-02,1.398724e-01,1.894315e-02,1.306069e-02,1.165861e-01,2.575530e-02,2.933140e-02,1.454084e-01,3.868527e-02,1.694743e-02,1.179014e-01,2.506148e-02,2.913554e-02,1.471511e-01,4.100643e-02,1.683468e-02
3.221240e-01,3.740226e+01,-5.736010e+00,1.096619e-01,2.038756e-02,2.584081e-02,1.400818e-01,1.963522e-02,1.493200e-02,1.165342e-01,2.427330e-02,3.093933e-02,1.452834e-01,3.513389e-02,1.787502e-02,1.177958e-01,2.337843e-02,3.096229e-02,1.469766e-01,3.788375e-02,1.788847e-02
