t,h,hd,alpha,ad,Fy,Mz,W_gust,delta
1.40000000e-04,-6.49179363e-03,4.07038683e-06,-8.76337528e-04,7.76299754e-05,164.534710,-8.326088,0.000002,0.000000
4.20000000e-04,-6.49179116e-03,1.36960467e-05,-8.76315432e-04,7.98955317e-05,164.534680,-8.326088,0.000016,0.000000
7.00000000e-04,-6.49178590e-03,2.38838709e-05,-8.76292863e-04,8.13471023e-05,164.534621,-8.326086,0.000044,0.000000
9.80000000e-04,-6.49177779e-03,3.40867968e-05,-8.76269871e-04,8.28340428e-05,164.534533,-8.326084,0.000087,0.000000
1.26000000e-03,-6.49176682e-03,4.42730146e-05,-8.76246503e-04,8.40855036e-05,164.534418,-8.326081,0.000143,0.000000
1.54000000e-03,-6.49175300e-03,5.44536532e-05,-8.76222749e-04,8.56479491e-05,164.534276,-8.326078,0.000214,0.000000
1.82000000e-03,-6.49173633e-03,6.45960511e-05,-8.76198527e-04,8.73813291e-05,164.534109,-8.326073,0.000298,0.000000
2.10000000e-03,-6.49171682e-03,7.47063764e-05,-8.76173825e-04,8.90097315e-05,164.533919,-8.326068,0.000397,0.000000
2.38000000e-03,-6.49169449e-03,8.48015386e-05,-8.76148703e-04,9.04153062e-05,164.533708,-8.326061,0.000510,0.000000
2.66000000e-03,-6.49166934e-03,9.48643506e-05,-8.76123197e-04,9.17932251e-05,164.533477,-8.326054,0.000637,0.000000
2.94000000e-03,-6.49164138e-03,1.04852433e-04,-8.76097270e-04,9.34394317e-05,164.533230,-8.326045,0.000779,0.000000
3.22000000e-03,-6.49161062e-03,1.14880319e-04,-8.76070892e-04,9.49114816e-05,164.532968,-8.326036,0.000934,0.000000
3.50000000e-03,-6.49157704e-03,1.24942085e-04,-8.76044139e-04,9.61698523e-05,164.532694,-8.326025,0.001103,0.000000
3.64000000e-03,-6.49155919e-03,1.30002282e-04,-8.76030646e-04,9.65894666e-05,164.532409,-8.326013,0.001193,0.000000
3.92000000e-03,-6.49152138e-03,1.40104663e-04,-8.76003487e-04,9.73932483e-05,164.532117,-8.326000,0.001384,0.000000
4.20000000e-03,-6.49148074e-03,1.50182231e-04,-8.75976110e-04,9.81497188e-05,164.531819,-8.325985,0.001589,0.000000
4.48000000e-03,-6.49143728e-03,1.60216491e-04,-8.75948521e-04,9.89595452e-05,164.531517,-8.325969,0.001808,0.000000
4.76000000e-03,-6.49139102e-03,1.70180189e-04,-8.75920669e-04,9.99596578e-05,164.531214,-8.325952,0.002041,0.000000
5.04000000e-03,-6.49134198e-03,1.80160941e-04,-8.75892587e-04,1.00557186e-04,164.530909,-8.325934,0.002288,0.000000
5.32000000e-03,-6.49129014e-03,1.90087477e-04,-8.75864355e-04,1.01132053e-04,164.530607,-8.325915,0.002549,0.000000
5.60000000e-03,-6.49123553e-03,1.99962345e-04,-8.75835949e-04,1.01758540e-04,164.530306,-8.325895,0.002824,0.000000
5.88000000e-03,-6.49117816e-03,2.09799855e-04,-8.75807367e-04,1.02458118e-04,164.530009,-8.325874,0.003114,0.000000
