t,h,hd,alpha,ad,Fy,Mz,W_gust,delta
1.40000000e-04,-6.49191426e-03,-1.65435298e-03,-8.75742913e-04,8.25085971e-03,175.185072,-5.089315,0.000008,0.350000
4.20000000e-04,-6.49261383e-03,-2.82466056e-03,-8.72266181e-04,1.40188740e-02,175.152271,-5.101049,0.000071,0.350000
7.00000000e-04,-6.49336736e-03,-2.61578697e-03,-8.68525582e-04,1.30012338e-02,175.087130,-5.124360,0.000197,0.350000
9.80000000e-04,-6.49410409e-03,-2.65381457e-03,-8.64855125e-04,1.32432499e-02,174.990566,-5.158931,0.000387,0.350000
1.26000000e-03,-6.49485255e-03,-2.68978658e-03,-8.61121044e-04,1.34086375e-02,174.863927,-5.204299,0.000640,0.350000
1.54000000e-03,-6.49560874e-03,-2.70899846e-03,-8.57355653e-04,1.34729044e-02,174.708968,-5.259861,0.000955,0.350000
1.82000000e-03,-6.49636907e-03,-2.72161631e-03,-8.53579021e-04,1.35010630e-02,174.527803,-5.324889,0.001334,0.350000
2.10000000e-03,-6.49713281e-03,-2.73389132e-03,-8.49795629e-04,1.35230960e-02,174.322870,-5.398543,0.001776,0.350000
2.38000000e-03,-6.49790099e-03,-2.75904191e-03,-8.46002205e-04,1.36007281e-02,174.096878,-5.479893,0.002282,0.350000
2.66000000e-03,-6.49868133e-03,-2.81575761e-03,-8.42162995e-04,1.38243626e-02,173.852747,-5.567933,0.002850,0.365909
2.94000000e-03,-6.49947536e-03,-2.85139515e-03,-8.38274381e-04,1.39265998e-02,173.593550,-5.661604,0.003482,0.387121
3.22000000e-03,-6.50027720e-03,-2.87530211e-03,-8.34369239e-04,1.39633264e-02,173.322477,-5.759809,0.004177,0.408333
3.50000000e-03,-6.50108531e-03,-2.89687671e-03,-8.30456400e-04,1.39841861e-02,173.042735,-5.861443,0.004934,0.429545
3.64000000e-03,-6.50149177e-03,-2.90970705e-03,-8.28497773e-04,1.39958733e-02,172.757519,-5.965405,0.005337,0.440152
3.92000000e-03,-6.50231005e-03,-2.93499792e-03,-8.24576313e-04,1.40132120e-02,172.469951,-6.070617,0.006190,0.461364
4.20000000e-03,-6.50313533e-03,-2.95979421e-03,-8.20651125e-04,1.40225044e-02,172.183032,-6.176046,0.007105,0.482576
4.48000000e-03,-6.50396752e-03,-2.98460458e-03,-8.16724221e-04,1.40271777e-02,171.899586,-6.280716,0.008084,0.503788
4.76000000e-03,-6.50480666e-03,-3.00708637e-03,-8.12796367e-04,1.40176622e-02,171.622257,-6.383714,0.009126,0.525000
5.04000000e-03,-6.50564914e-03,-3.00736481e-03,-8.08886302e-04,1.38946522e-02,171.353442,-6.484212,0.010231,0.525000
5.32000000e-03,-6.50649193e-03,-3.01635764e-03,-8.05010085e-04,1.38107449e-02,171.095264,-6.581475,0.011399,0.525000
5.60000000e-03,-6.50733931e-03,-3.03620030e-03,-8.01148050e-04,1.37723410e-02,170.849585,-6.674858,0.012630,0.525000
5.88000000e-03,-6.50819209e-03,-3.05484228e-03,-7.97299143e-04,1.37174327e-02,170.617979,-6.763812,0.013925,0.525000
6.16000000e-03,-6.50904988e-03,-3.07204151e-03,-7.93467564e-04,1.36490563e-02,170.401734,-6.847891,0.015282,0.525000
6.44000000e-03,-6.50991235e-03,-3.08832183e-03,-7.89656565e-04,1.35708473e-02,170.201854,-6.926743,0.016703,0.525000
6.72000000e-03,-6.51077928e-03,-3.10395756e-03,-7.85868678e-04,1.34841234e-02,170.019067,-7.000112,0.018186,0.525000
7.00000000e-03,-6.51165052e-03,-3.11906503e-03,-7.82106192e-04,1.33895135e-02,169.853848,-7.067829,0.019733,0.525000
