t,h,hd,alpha,ad,Fy,Mz,W_gust,delta
1.40000000e-04,-6.49179363e-03,4.07038928e-06,-8.76337528e-04,7.76299731e-05,164.533730,-8.326081,0.000008,0.000000
4.20000000e-04,-6.49179116e-03,1.36960921e-05,-8.76315432e-04,7.98954892e-05,164.533690,-8.326080,0.000071,0.000000
7.00000000e-04,-6.49178590e-03,2.38840756e-05,-8.76292863e-04,8.13469176e-05,164.533611,-8.326078,0.000197,0.000000
9.80000000e-04,-6.49177779e-03,3.40873751e-05,-8.76269871e-04,8.28335404e-05,164.533494,-8.326075,0.000387,0.000000
1.26000000e-03,-6.49176682e-03,4.42742855e-05,-8.76246504e-04,8.40844437e-05,164.533338,-8.326072,0.000640,0.000000
1.54000000e-03,-6.49175299e-03,5.44560434e-05,-8.76222750e-04,8.56460305e-05,164.533147,-8.326067,0.000955,0.000000
1.82000000e-03,-6.49173633e-03,6.46001033e-05,-8.76198528e-04,8.73782016e-05,164.532920,-8.326060,0.001334,0.000000
2.10000000e-03,-6.49171682e-03,7.47127421e-05,-8.76173828e-04,8.90050003e-05,164.532659,-8.326053,0.001776,0.000000
2.38000000e-03,-6.49169449e-03,8.48109844e-05,-8.76148707e-04,9.04085303e-05,164.532367,-8.326044,0.002282,0.000000
2.66000000e-03,-6.49166933e-03,9.48777789e-05,-8.76123204e-04,9.17839108e-05,164.532045,-8.326034,0.002850,0.000000
2.94000000e-03,-6.49164136e-03,1.04870882e-04,-8.76097279e-04,9.34270368e-05,164.531696,-8.326022,0.003482,0.000000
3.22000000e-03,-6.49161060e-03,1.14904954e-04,-8.76070905e-04,9.48954401e-05,164.531321,-8.326009,0.004177,0.000000
3.50000000e-03,-6.49157701e-03,1.24973503e-04,-8.76044158e-04,9.61498875e-05,164.530923,-8.325995,0.004934,0.000000
3.64000000e-03,-6.49155916e-03,1.30040094e-04,-8.76030667e-04,9.65663815e-05,164.530504,-8.325978,0.005337,0.000000
3.92000000e-03,-6.49152133e-03,1.40155248e-04,-8.76003516e-04,9.73639441e-05,164.530065,-8.325960,0.006190,0.000000
4.20000000e-03,-6.49148068e-03,1.50245568e-04,-8.75976148e-04,9.81142277e-05,164.529610,-8.325940,0.007105,0.000000
4.48000000e-03,-6.49143720e-03,1.60293126e-04,-8.75948569e-04,9.89177511e-05,164.529138,-8.325918,0.008084,0.000000
4.76000000e-03,-6.49139092e-03,1.70272052e-04,-8.75920731e-04,9.99110872e-05,164.528653,-8.325894,0.009126,0.000000
5.04000000e-03,-6.49134185e-03,1.80270145e-04,-8.75892663e-04,1.00501376e-04,164.528155,-8.325869,0.010231,0.000000
5.32000000e-03,-6.49128998e-03,1.90216375e-04,-8.75864448e-04,1.01068594e-04,164.527645,-8.325842,0.011399,0.000000
5.60000000e-03,-6.49123533e-03,2.00113447e-04,-8.75836060e-04,1.01687156e-04,164.527125,-8.325813,0.012630,0.000000
5.88000000e-03,-6.49117791e-03,2.09975793e-04,-8.75807499e-04,1.02378677e-04,164.526595,-8.325782,0.013925,0.000000
6.16000000e-03,-6.49111775e-03,2.19762061e-04,-8.75778690e-04,1.03421673e-04,164.526056,-8.325750,0.015282,0.000000
6.44000000e-03,-6.49105484e-03,2.29569158e-04,-8.75749596e-04,1.04362145e-04,164.525508,-8.325716,0.016703,0.000000
6.72000000e-03,-6.49098919e-03,2.39374018e-04,-8.75720268e-04,1.05087775e-04,164.524951,-8.325680,0.018186,0.000000
7.00000000e-03,-6.49092080e-03,2.49152073e-04,-8.75690760e-04,1.05674839e-04,164.524385,-8.325643,0.019733,0.000000
7.14000000e-03,-6.49088558e-03,2.54015770e-04,-8.75675930e-04,1.06176237e-04,164.523810,-8.325605,0.020530,0.000000
7.42000000e-03,-6.49081309e-03,2.63716457e-04,-8.75646065e-04,1.07142315e-04,164.523225,-8.325565,0.022171,0.000000
