t,h,hd,alpha,ad,Fy,Mz,W_gust,delta
1.40000000e-04,-6.49179363e-03,4.07038810e-06,-8.76337528e-04,7.76299742e-05,164.534197,-8.326085,0.000005,0.000000
4.20000000e-04,-6.49179116e-03,1.36960705e-05,-8.76315432e-04,7.98955094e-05,164.534162,-8.326084,0.000045,0.000000
7.00000000e-04,-6.49178590e-03,2.38839780e-05,-8.76292863e-04,8.13470056e-05,164.534093,-8.326082,0.000124,0.000000
9.80000000e-04,-6.49177779e-03,3.40870994e-05,-8.76269871e-04,8.28337799e-05,164.533989,-8.326080,0.000244,0.000000
1.26000000e-03,-6.49176682e-03,4.42736793e-05,-8.76246503e-04,8.40849488e-05,164.533853,-8.326076,0.000403,0.000000
1.54000000e-03,-6.49175299e-03,5.44549021e-05,-8.76222749e-04,8.56469434e-05,164.533685,-8.326072,0.000602,0.000000
1.82000000e-03,-6.49173633e-03,6.45981689e-05,-8.76198527e-04,8.73796901e-05,164.533486,-8.326066,0.000840,0.000000
2.10000000e-03,-6.49171682e-03,7.47097048e-05,-8.76173827e-04,8.90072537e-05,164.533259,-8.326060,0.001119,0.000000
2.38000000e-03,-6.49169449e-03,8.48064786e-05,-8.76148705e-04,9.04117588e-05,164.533006,-8.326052,0.001437,0.000000
2.66000000e-03,-6.49166933e-03,9.48713741e-05,-8.76123201e-04,9.17883497e-05,164.532727,-8.326044,0.001795,0.000000
2.94000000e-03,-6.49164137e-03,1.04862083e-04,-8.76097275e-04,9.34329443e-05,164.532427,-8.326033,0.002193,0.000000
3.22000000e-03,-6.49161061e-03,1.14893206e-04,-8.76070899e-04,9.49030861e-05,164.532105,-8.326022,0.002630,0.000000
3.50000000e-03,-6.49157703e-03,1.24958520e-04,-8.76044149e-04,9.61594042e-05,164.531766,-8.326009,0.003108,0.000000
3.64000000e-03,-6.49155918e-03,1.30022062e-04,-8.76030657e-04,9.65773866e-05,164.531411,-8.325995,0.003361,0.000000
3.92000000e-03,-6.49152136e-03,1.40131126e-04,-8.76003502e-04,9.73779160e-05,164.531042,-8.325979,0.003898,0.000000
4.20000000e-03,-6.49148071e-03,1.50215365e-04,-8.75976130e-04,9.81311511e-05,164.530661,-8.325961,0.004475,0.000000
4.48000000e-03,-6.49143724e-03,1.60256581e-04,-8.75948546e-04,9.89376808e-05,164.530270,-8.325943,0.005092,0.000000
4.76000000e-03,-6.49139097e-03,1.70228246e-04,-8.75920702e-04,9.99342477e-05,164.529871,-8.325922,0.005748,0.000000
5.04000000e-03,-6.49134191e-03,1.80218069e-04,-8.75892627e-04,1.00527989e-04,164.529466,-8.325900,0.006444,0.000000
5.32000000e-03,-6.49129005e-03,1.90154910e-04,-8.75864404e-04,1.01098854e-04,164.529054,-8.325877,0.007180,0.000000
5.60000000e-03,-6.49123543e-03,2.00041396e-04,-8.75836007e-04,1.01721192e-04,164.528638,-8.325852,0.007956,0.000000
5.88000000e-03,-6.49117803e-03,2.09891901e-04,-8.75807436e-04,1.02416553e-04,164.528219,-8.325826,0.008771,0.000000
6.16000000e-03,-6.49111789e-03,2.19664989e-04,-8.75778616e-04,1.03463414e-04,164.527797,-8.325799,0.009626,0.000000
6.44000000e-03,-6.49105502e-03,2.29457490e-04,-8.75749510e-04,1.04407723e-04,164.527372,-8.325770,0.010521,0.000000
6.72000000e-03,-6.49098940e-03,2.39246207e-04,-8.75720168e-04,1.05137095e-04,164.526945,-8.325741,0.011456,0.000000
7.00000000e-03,-6.49092104e-03,2.49007337e-04,-8.75690646e-04,1.05727820e-04,164.526515,-8.325710,0.012430,0.000000
7.14000000e-03,-6.49088584e-03,2.53859116e-04,-8.75675809e-04,1.06230586e-04,164.526083,-8.325679,0.012932,0.000000
7.42000000e-03,-6.49081341e-03,2.63536001e-04,-8.75645927e-04,1.07199363e-04,164.525649,-8.325646,0.013966,0.000000
7.70000000e-03,-6.49073827e-03,2.73176574e-04,-8.75615782e-04,1.08118994e-04,164.525211,-8.325613,0.015040,0.000000
7.98000000e-03,-6.49066043e-03,2.82786708e-04,-8.75585388e-04,1.08950449e-04,164.524769,-8.325580,0.016153,0.000000
8.26000000e-03,-6.49057991e-03,2.92374141e-04,-8.75554786e-04,1.09615036e-04,164.524322,-8.325545,0.017307,0.000000
8.54000000e-03,-6.49049671e-03,3.01894609e-04,-8.75524011e-04,1.10191741e-04,164.523871,-8.325510,0.018500,0.000000
8.82000000e-03,-6.49041085e-03,3.11370734e-04,-8.75493096e-04,1.10593204e-04,164.523413,-8.325475,0.019732,0.000000
9.10000000e-03,-6.49032234e-03,3.20831806e-04,-8.75462089e-04,1.10880021e-04,164.522948,-8.325439,0.021005,0.000000
9.38000000e-03,-6.49023118e-03,3.30274528e-04,-8.75431009e-04,1.11092303e-04,164.522475,-8.325402,0.022317,0.000000
9.66000000e-03,-6.49013739e-03,3.39657629e-04,-8.75399897e-04,1.11135213e-04,164.521993,-8.325365,0.023669,0.000000
9.94000000e-03,-6.49004098e-03,3.49018205e-04,-8.75368755e-04,1.11334081e-04,164.521502,-8.325326,0.025061,0.000000
1.02200000e-02,-6.48994195e-03,3.58353709e-04,-8.75337538e-04,1.11666156e-04,164.521000,-8.325287,0.026492,0.000000
1.05000000e-02,-6.48984030e-03,3.67651887e-04,-8.75306220e-04,1.12024528e-04,164.520487,-8.325247,0.027963,0.000000
1.06400000e-02,-6.48978851e-03,3.72303340e-04,-8.75290525e-04,1.12186684e-04,164.519962,-8.325205,0.028713,0.000000
1.09200000e-02,-6.48968296e-03,3.81571243e-04,-8.75259071e-04,1.12475314e-04,164.519423,-8.325163,0.030244,0.000000
1.12000000e-02,-6.48957483e-03,3.90791763e-04,-8.75227543e-04,1.12716529e-04,164.518871,-8.325119,0.031814,0.000000
1.14800000e-02,-6.48946412e-03,3.99969563e-04,-8.75195961e-04,1.12824184e-04,164.518305,-8.325073,0.033425,0.000000
1.17600000e-02,-6.48935085e-03,4.09120954e-04,-8.75164392e-04,1.12631087e-04,164.517724,-8.325025,0.035074,0.000000
1.20400000e-02,-6.48923502e-03,4.18262470e-04,-8.75132892e-04,1.12366767e-04,164.517128,-8.324975,0.036764,0.000000
1.23200000e-02,-6.48911664e-03,4.27260715e-04,-8.75101470e-04,1.12068810e-04,164.516516,-8.324923,0.038493,0.000000
1.26000000e-02,-6.48899576e-03,4.36145894e-04,-8.75070127e-04,1.11843452e-04,164.515887,-8.324869,0.040262,0.000000
1.28800000e-02,-6.48887240e-03,4.45008226e-04,-8.75038819e-04,1.11827194e-04,164.515242,-8.324812,0.042070,0.000000
1.31600000e-02,-6.48874656e-03,4.53849556e-04,-8.75007482e-04,1.11985832e-04,164.514579,-8.324752,0.043918,0.000000
1.34400000e-02,-6.48861825e-03,4.62639624e-04,-8.74976153e-04,1.11705038e-04,164.513898,-8.324690,0.045806,0.000000
1.37200000e-02,-6.48848748e-03,4.71416547e-04,-8.74944958e-04,1.11076075e-04,164.513199,-8.324624,0.047734,0.000000
1.40000000e-02,-6.48835426e-03,4.80167829e-04,-8.74913965e-04,1.10292839e-04,164.512482,-8.324556,0.049701,0.000000
1.41400000e-02,-6.48828673e-03,4.84576551e-04,-8.74898541e-04,1.10056871e-04,164.511745,-8.324484,0.050699,0.000000
1.44200000e-02,-6.48814981e-03,4.93351116e-04,-8.74867794e-04,1.09553696e-04,164.510989,-8.324409,0.052726,0.000000
1.47000000e-02,-6.48801045e-03,5.02067840e-04,-8.74837194e-04,1.09009381e-04,164.510213,-8.324331,0.054792,0.000000
1.49800000e-02,-6.48786866e-03,5.10712862e-04,-8.74806753e-04,1.08417670e-04,164.509417,-8.324250,0.056898,0.000000
1.52600000e-02,-6.48772446e-03,5.19268232e-04,-8.74776486e-04,1.07764642e-04,164.508600,-8.324166,0.059044,0.000000
1.55400000e-02,-6.48757787e-03,5.27813820e-04,-8.74746409e-04,1.07072046e-04,164.507761,-8.324078,0.061229,0.000000
1.58200000e-02,-6.48742889e-03,5.36300379e-04,-8.74716509e-04,1.06544522e-04,164.506901,-8.323987,0.063454,0.000000
1.61000000e-02,-6.48727755e-03,5.44694838e-04,-8.74686738e-04,1.06086185e-04,164.506018,-8.323893,0.065718,0.000000
1.63800000e-02,-6.48712387e-03,5.53015335e-04,-8.74657114e-04,1.05473301e-04,164.505111,-8.323797,0.068023,0.000000
1.66600000e-02,-6.48696787e-03,5.61313106e-04,-8.74627694e-04,1.04682946e-04,164.504181,-8.323697,0.070366,0.000000
1.69400000e-02,-6.48680954e-03,5.69542880e-04,-8.74598460e-04,1.04170348e-04,164.503228,-8.323595,0.072750,0.000000
1.72200000e-02,-6.48664892e-03,5.77751564e-04,-8.74569392e-04,1.03362564e-04,164.502249,-8.323490,0.075173,0.000000
1.75000000e-02,-6.48648601e-03,5.85928166e-04,-8.74540605e-04,1.02254294e-04,164.501246,-8.323382,0.077635,0.000000
1.76400000e-02,-6.48640370e-03,5.89940406e-04,-8.74526284e-04,1.02326090e-04,164.500217,-8.323272,0.078881,0.000000
1.79200000e-02,-6.48623739e-03,5.97914905e-04,-8.74497615e-04,1.02443411e-04,164.499161,-8.323159,0.081403,0.000000
1.82000000e-02,-6.48606887e-03,6.05822179e-04,-8.74468919e-04,1.02525894e-04,164.498079,-8.323044,0.083965,0.000000
1.84800000e-02,-6.48589814e-03,6.13701935e-04,-8.74440214e-04,1.02428039e-04,164.496969,-8.322927,0.086566,0.000000
1.87600000e-02,-6.48572519e-03,6.21633504e-04,-8.74411609e-04,1.01825345e-04,164.495832,-8.322807,0.089206,0.000000
1.90400000e-02,-6.48555003e-03,6.29515992e-04,-8.74383225e-04,1.00878377e-04,164.494666,-8.322685,0.091886,0.000000
1.93200000e-02,-6.48537267e-03,6.37272751e-04,-8.74355092e-04,1.00144416e-04,164.493472,-8.322561,0.094606,0.000000
1.96000000e-02,-6.48519316e-03,6.44934406e-04,-8.74327143e-04,9.94236718e-05,164.492249,-8.322434,0.097365,0.000000
1.98800000e-02,-6.48501151e-03,6.52549461e-04,-8.74299433e-04,9.85683586e-05,164.490997,-8.322305,0.100164,0.000000
2.01600000e-02,-6.48482774e-03,6.60111470e-04,-8.74271900e-04,9.80994518e-05,164.489715,-8.322173,0.103003,0.000000
2.04400000e-02,-6.48464185e-03,6.67676954e-04,-8.74244539e-04,9.72614873e-05,164.488403,-8.322038,0.105881,0.000000
2.07200000e-02,-6.48445385e-03,6.75211627e-04,-8.74217446e-04,9.62630112e-05,164.487061,-8.321901,0.108798,0.000000
2.10000000e-02,-6.48426374e-03,6.82684277e-04,-8.74190634e-04,9.52420746e-05,164.485689,-8.321761,0.111755,0.000000
2.11400000e-02,-6.48416790e-03,6.86427895e-04,-8.74177315e-04,9.50250860e-05,164.484287,-8.321618,0.113248,0.000000
2.14200000e-02,-6.48397466e-03,6.93858443e-04,-8.74150771e-04,9.45708201e-05,164.482853,-8.321471,0.116264,0.000000
2.17000000e-02,-6.48377935e-03,7.01212872e-04,-8.74124358e-04,9.40899295e-05,164.481389,-8.321321,0.119320,0.000000
2.19800000e-02,-6.48358199e-03,7.08484653e-04,-8.74098084e-04,9.35703743e-05,164.479894,-8.321168,0.122415,0.000000
2.22600000e-02,-6.48338260e-03,7.15667787e-04,-8.74071968e-04,9.29337626e-05,164.478368,-8.321011,0.125550,0.000000
2.25400000e-02,-6.48318122e-03,7.22813120e-04,-8.74046082e-04,9.18988794e-05,164.476810,-8.320849,0.128724,0.000000
2.28200000e-02,-6.48297783e-03,7.29918874e-04,-8.74020521e-04,9.06598826e-05,164.475221,-8.320684,0.131937,0.000000
2.31000000e-02,-6.48277247e-03,7.36940027e-04,-8.73995304e-04,8.95050511e-05,164.473599,-8.320515,0.135190,0.000000
2.33800000e-02,-6.48256516e-03,7.43865927e-04,-8.73970373e-04,8.86269732e-05,164.471946,-8.320341,0.138483,0.000000
2.36600000e-02,-6.48235591e-03,7.50760593e-04,-8.73945649e-04,8.79700010e-05,164.470260,-8.320162,0.141815,0.000000
2.39400000e-02,-6.48214474e-03,7.57580998e-04,-8.73921130e-04,8.71402552e-05,164.468541,-8.319979,0.145186,0.000000
2.42200000e-02,-6.48193167e-03,7.64348768e-04,-8.73896838e-04,8.64174717e-05,164.466789,-8.319791,0.148597,0.000000
2.45000000e-02,-6.48171671e-03,7.71054999e-04,-8.73872725e-04,8.58108352e-05,164.465003,-8.319598,0.152047,0.000000
2.46400000e-02,-6.48160852e-03,7.74468791e-04,-8.73860741e-04,8.53966995e-05,164.463184,-8.319401,0.153787,0.000000
2.49200000e-02,-6.48139072e-03,7.81233702e-04,-8.73836947e-04,8.45546515e-05,164.461329,-8.319198,0.157296,0.000000
2.52000000e-02,-6.48117104e-03,7.87914569e-04,-8.73813392e-04,8.36948120e-05,164.459440,-8.318990,0.160845,0.000000
2.54800000e-02,-6.48094950e-03,7.94495340e-04,-8.73790073e-04,8.29075190e-05,164.457515,-8.318777,0.164433,0.000000
2.57600000e-02,-6.48072613e-03,8.00945722e-04,-8.73766938e-04,8.23584304e-05,164.455554,-8.318559,0.168060,0.000000
2.60400000e-02,-6.48050098e-03,8.07309442e-04,-8.73743960e-04,8.17562614e-05,164.453555,-8.318336,0.171727,0.000000
2.63200000e-02,-6.48027404e-03,8.13621330e-04,-8.73721166e-04,8.10318708e-05,164.451519,-8.318108,0.175433,0.000000
2.66000000e-02,-6.48004535e-03,8.19871230e-04,-8.73698568e-04,8.04511300e-05,164.449445,-8.317875,0.179179,0.000000
2.68800000e-02,-6.47981492e-03,8.26067497e-04,-8.73676083e-04,8.01642222e-05,164.447331,-8.317637,0.182963,0.000000
2.71600000e-02,-6.47958275e-03,8.32269255e-04,-8.73653681e-04,7.98115735e-05,164.445178,-8.317394,0.186788,0.000000
2.74400000e-02,-6.47934886e-03,8.38403424e-04,-8.73631434e-04,7.90312640e-05,164.442984,-8.317146,0.190651,0.000000
2.77200000e-02,-6.47911326e-03,8.44448418e-04,-8.73609401e-04,7.84217252e-05,164.440749,-8.316893,0.194554,0.000000
2.80000000e-02,-6.47887598e-03,8.50402101e-04,-8.73587498e-04,7.80285907e-05,164.438472,-8.316636,0.198496,0.000000
2.81400000e-02,-6.47875671e-03,8.53412809e-04,-8.73576583e-04,7.78925209e-05,164.436152,-8.316374,0.200482,0.000000
2.84200000e-02,-6.47851692e-03,8.59366413e-04,-8.73554812e-04,7.76108810e-05,164.433788,-8.316108,0.204483,0.000000
2.87000000e-02,-6.47827547e-03,8.65229203e-04,-8.73533122e-04,7.73168558e-05,164.431380,-8.315837,0.208523,0.000000
2.89800000e-02,-6.47803240e-03,8.71025682e-04,-8.73511519e-04,7.69699321e-05,164.428928,-8.315561,0.212603,0.000000
2.92600000e-02,-6.47778770e-03,8.76800833e-04,-8.73490032e-04,7.65053608e-05,164.426430,-8.315281,0.216721,0.000000
2.95400000e-02,-6.47754140e-03,8.82471221e-04,-8.73468667e-04,7.61252394e-05,164.423885,-8.314996,0.220879,0.000000
2.98200000e-02,-6.47729352e-03,8.88047247e-04,-8.73447373e-04,7.60383049e-05,164.421294,-8.314707,0.225077,0.000000
3.01000000e-02,-6.47704409e-03,8.93589654e-04,-8.73426089e-04,7.59151640e-05,164.418656,-8.314414,0.229313,0.000000
3.03800000e-02,-6.47679311e-03,8.99110651e-04,-8.73404881e-04,7.56331582e-05,164.415971,-8.314116,0.233589,0.000000
3.06600000e-02,-6.47654060e-03,9.04521137e-04,-8.73383686e-04,7.58387264e-05,164.413237,-8.313813,0.237904,0.000000
3.09400000e-02,-6.47628659e-03,9.09832695e-04,-8.73362378e-04,7.63977881e-05,164.410455,-8.313506,0.242258,0.000000
3.12200000e-02,-6.47603110e-03,9.15082518e-04,-8.73340913e-04,7.68894115e-05,164.407624,-8.313194,0.246651,0.000000
3.15000000e-02,-6.47577415e-03,9.20260841e-04,-8.73319332e-04,7.72592902e-05,164.404745,-8.312878,0.251084,0.000000
3.16400000e-02,-6.47564513e-03,9.22934998e-04,-8.73308517e-04,7.72318050e-05,164.401816,-8.312556,0.253315,0.000000
3.19200000e-02,-6.47538597e-03,9.28210991e-04,-8.73286901e-04,7.71688969e-05,164.398838,-8.312230,0.257806,0.000000
3.22000000e-02,-6.47512534e-03,9.33390222e-04,-8.73265304e-04,7.70955607e-05,164.395811,-8.311898,0.262336,0.000000
