NRMSE (per-family range-normalized)
             run | A.Fy | A.Mz | B.Fy | B.Mz | Cc.Fy | Cc.Mz
       in2/d1/TF |   4.2% |   4.8% |   2.2% |   4.3% |   2.7% |   2.4%
       in2/d3/TF |   3.1% |   3.3% |   3.2% |   5.3% |   2.2% |   1.1%
       in2/d5/TF |   3.4% |   4.9% |  12.2% |  17.2% |   1.7% |   1.8%
      in2/d10/TF |  29.6% |  41.7% |  77.8% |  64.5% |   5.7% |   9.8%
       in4/d1/TF |   2.2% |   1.9% |   1.7% |   2.5% |   1.7% |   1.2%
       in4/d3/TF |   0.8% |   0.8% |   1.1% |   5.5% |   1.1% |   1.0%
       in4/d5/TF |   2.2% |   2.6% |   2.7% |   6.2% |   1.8% |   1.6%
      in4/d10/TF |   3.3% |   2.3% |  12.1% |   7.5% |   2.8% |   2.1%
       in6/d1/TF |   0.5% |   0.3% |   0.9% |   1.8% |   1.2% |   0.4%
       in6/d3/TF |   1.7% |   1.5% |  10.4% |  11.6% |   2.6% |   2.5%
       in6/d5/TF |   2.6% |   2.2% |   6.2% |   4.5% |   1.4% |   1.2%
 in6/d10/ROLLOUT |   2.1% |   4.0% |   5.4% |  11.4% |   1.4% |   2.1%
      in6/d10/TF |   4.0% |   2.6% |   7.4% |  10.5% |   1.5% |   1.1%

1 - rho
             run | A.Fy | A.Mz | B.Fy | B.Mz | Cc.Fy | Cc.Mz
       in2/d1/TF | 6.6e-03 | 5.8e-03 | 2.0e-03 | 1.7e-02 | 1.4e-02 | 5.8e-03
       in2/d3/TF | 5.2e-03 | 4.2e-03 | 2.5e-03 | 1.2e-02 | 7.5e-03 | 1.5e-03
       in2/d5/TF | 8.1e-03 | 1.4e-02 | 5.7e-02 | 2.4e-01 | 4.9e-03 | 3.7e-03
      in2/d10/TF | 7.5e-02 | 7.0e-02 | 1.1e-02 | 6.9e-01 | 3.6e-02 | 6.1e-02
       in4/d1/TF | 2.7e-03 | 2.2e-03 | 6.1e-04 | 5.8e-03 | 4.6e-03 | 1.7e-03
       in4/d3/TF | 3.4e-04 | 3.2e-04 | 5.2e-04 | 1.0e-02 | 2.3e-03 | 1.2e-03
       in4/d5/TF | 3.0e-03 | 3.9e-03 | 2.8e-03 | 4.1e-02 | 5.6e-03 | 3.2e-03
      in4/d10/TF | 6.6e-03 | 3.5e-03 | 3.9e-02 | 1.9e-02 | 1.3e-02 | 5.4e-03
       in6/d1/TF | 1.3e-04 | 5.6e-05 | 2.0e-04 | 1.6e-03 | 2.0e-03 | 1.7e-04
       in6/d3/TF | 1.5e-03 | 1.0e-03 | 1.4e-02 | 8.1e-02 | 1.3e-02 | 7.3e-03
       in6/d5/TF | 2.1e-03 | 2.6e-03 | 5.3e-03 | 1.1e-02 | 3.7e-03 | 9.1e-04
 in6/d10/ROLLOUT | 8.7e-04 | 5.5e-03 | 9.4e-03 | 5.1e-02 | 2.7e-03 | 4.4e-03
      in6/d10/TF | 5.7e-03 | 2.6e-03 | 2.6e-02 | 9.0e-02 | 4.4e-03 | 1.5e-03
